dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.interestDebtPerShare,-11.8607,6.229,-1.904,0.061,0.049,3.625,72
income_statement.otherExpenses,-9322000,6240000,-1.495,0.142,0.048,2.234,46
key_metrics.netDebtToEBITDA,-1.9254,1.02,-1.888,0.063,0.048,3.564,73
income_statement_growht.growthOperatingIncome,0.285,0.153,1.868,0.066,0.046,3.488,74
balance_sheet.longTermInvestments,-1616000000,1430000000,-1.132,0.268,0.045,1.281,29
key_metrics.researchAndDdevelopementToRevenue,-0.0401,0.039,-1.031,0.313,0.044,1.063,25
financial_growth.tenYShareholdersEquityGrowthPerShare,0.8762,0.526,1.666,0.101,0.043,2.776,64
financial_growth.revenueGrowth,0.0972,0.053,1.817,0.073,0.041,3.302,80
financial_growth.tenYRevenueGrowthPerShare,1.0876,0.641,1.698,0.094,0.041,2.882,70
financial_growth.threeYRevenueGrowthPerShare,0.2106,0.118,1.783,0.079,0.041,3.181,76
income_statement_growht.growthRevenue,0.0883,0.049,1.804,0.075,0.041,3.255,78
cash_flow.changeInWorkingCapital,1521000000,887000000,1.715,0.091,0.04,2.94,73
income_statement.depreciationAndAmortization,4267000000,2350000000,1.819,0.073,0.04,3.31,82
cash_flow.depreciationAndAmortization,4087000000,2310000000,1.769,0.081,0.038,3.13,82
key_metrics.grahamNetNet,18.1846,11.317,1.607,0.113,0.038,2.582,68
balance_sheet.commonStock,-13240000,9310000,-1.422,0.161,0.035,2.021,57
key_metrics.cashPerShare,4.2194,2.631,1.604,0.113,0.035,2.573,72
balance_sheet.propertyPlantEquipmentNet,17790000000,11200000000,1.586,0.117,0.034,2.516,74
financial_growth.threeYNetIncomeGrowthPerShare,-0.6188,0.431,-1.436,0.156,0.033,2.062,63
key_metrics.grahamNumber,-11.5333,7.927,-1.455,0.151,0.033,2.117,65
balance_sheet.otherCurrentAssets,1320000000,918000000,1.437,0.156,0.032,2.066,65
financial_growth.threeYOperatingCFGrowthPerShare,0.3417,0.22,1.55,0.125,0.032,2.403,75
balance_sheet.totalLiabilities,25030000000,16700000000,1.501,0.138,0.03,2.254,76
ratio.operatingCashFlowSalesRatio,0.0986,0.065,1.524,0.132,0.03,2.322,76
income_statement.generalAndAdministrativeExpenses,5392000000,3630000000,1.488,0.141,0.029,2.213,75
financial_growth.receivablesGrowth,0.1441,0.098,1.472,0.145,0.027,2.167,80
income_statement_growht.growthCostOfRevenue,0.0944,0.067,1.406,0.164,0.027,1.978,74
cash_flow.netChangeInCash,608600000,454000000,1.34,0.185,0.026,1.795,70
income_statement_growht.growthIncomeTaxExpense,0.6704,0.491,1.364,0.177,0.025,1.861,76
balance_sheet.otherCurrentLiabilities,1130000000,1050000000,1.078,0.287,0.024,1.162,49
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.4775,0.366,1.305,0.196,0.024,1.702,71
key_metrics.peRatio,9.9836,8.147,1.225,0.225,0.024,1.501,63
ratio.longTermDebtToCapitalization,-0.1701,0.133,-1.281,0.205,0.024,1.641,70
ratio.priceEarningsRatio,9.9836,8.147,1.225,0.225,0.024,1.501,63
S&P500_INFO.CIK,302700,211000,1.433,0.155,0.024,2.054,86
key_metrics.tangibleAssetValue,5705000000,5230000000,1.091,0.28,0.023,1.191,52
balance_sheet.cashAndCashEquivalents,1464000000,1130000000,1.294,0.2,0.022,1.675,75
balance_sheet.otherAssets,1385000000,1220000000,1.139,0.259,0.022,1.297,61
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.0726,0.06,1.208,0.232,0.022,1.458,66
key_metrics.capexToRevenue,17.9362,14.211,1.262,0.211,0.022,1.593,73
enterprise_value.minusCashAndCashEquivalents,1436000000,1130000000,1.273,0.207,0.022,1.619,75
enterprise_value.enterpriseValue,91160000000,69000000000,1.321,0.19,0.022,1.745,80
cash_flow.cashAtEndOfPeriod,1409000000,1130000000,1.247,0.216,0.021,1.554,75
financial_growth.weightedAverageSharesGrowth,0.0149,0.013,1.173,0.245,0.021,1.376,66
key_metrics.returnOnTangibleAssets,-0.0508,0.043,-1.195,0.236,0.021,1.429,69
income_statement.totalOtherIncomeExpensesNet,245800000,215000000,1.145,0.256,0.02,1.312,66
income_statement_growht.growthOtherExpenses,0.6794,0.632,1.075,0.287,0.02,1.155,60
key_metrics.debtToAssets,-0.1383,0.113,-1.226,0.224,0.02,1.503,75
ratio.debtRatio,-0.1383,0.113,-1.226,0.224,0.02,1.503,75
ratio.dividendPaidAndCapexCoverageRatio,-5.5404,6.428,-0.862,0.394,0.02,0.7428,38
balance_sheet.totalAssets,54670000000,43600000000,1.255,0.213,0.019,1.575,82
balance_sheet.totalLiabilitiesAndStockholdersEquity,54540000000,43400000000,1.257,0.212,0.019,1.581,82
income_statement.researchAndDevelopmentExpenses,-4565000000,6290000000,-0.726,0.474,0.019,0.5274,29
key_metrics.payablesTurnover,4.5936,4.304,1.067,0.29,0.019,1.139,62
ratio.payablesTurnover,4.5936,4.304,1.067,0.29,0.019,1.139,62
enterprise_value.addTotalDebt,-4251000000,3870000000,-1.099,0.276,0.019,1.207,65
cash_flow.otherInvestingActivites,-108200000,104000000,-1.04,0.303,0.018,1.081,61
cash_flow.cashAtBeginningOfPeriod,-1073000000,915000000,-1.172,0.245,0.018,1.373,76
income_statement.ebitda,9551000000,7680000000,1.243,0.217,0.018,1.545,84
balance_sheet.deferredTaxLiabilitiesNonCurrent,2410000000,2530000000,0.951,0.346,0.016,0.9047,57
financial_growth.operatingCashFlowGrowth,0.1091,0.1,1.091,0.279,0.016,1.189,73
income_statement.costOfRevenue,-7751000000,7330000000,-1.058,0.294,0.016,1.119,70
income_statement.grossProfitRatio,0.0918,0.081,1.129,0.262,0.016,1.274,79
income_statement.sellingAndMarketingExpenses,-2995000000,4210000000,-0.712,0.482,0.016,0.5063,33
income_statement_growht.growthDepreciationAndAmortization,0.09,0.08,1.132,0.261,0.016,1.281,79
income_statement_growht.growthTotalOtherIncomeExpensesNet,-0.5529,0.601,-0.92,0.361,0.016,0.8473,55
cash_flow.stockBasedCompensation,95150000,102000000,0.934,0.354,0.015,0.8729,58
financial_growth.weightedAverageSharesDilutedGrowth,0.0125,0.013,0.982,0.33,0.015,0.9653,65
key_metrics.workingCapital,-1904000000,1990000000,-0.955,0.343,0.015,0.913,64
balance_sheet.shortTermDebt,771700000,875000000,0.882,0.382,0.014,0.7772,55
income_statement.interestExpense,-178000000,190000000,-0.937,0.353,0.014,0.8771,66
balance_sheet.intangibleAssets,-4679000000,5010000000,-0.935,0.353,0.013,0.8733,68
balance_sheet.deferredRevenue,323100000,335000000,0.965,0.338,0.013,0.9306,74
balance_sheet.longTermDebt,-3347000000,3810000000,-0.879,0.383,0.013,0.7722,63
financial_growth.tenYDividendperShareGrowthPerShare,-2.6605,4.162,-0.639,0.528,0.013,0.4086,32
income_statement_growht.growthGrossProfitRatio,0.0165,0.017,0.953,0.344,0.013,0.9075,70
income_statement_growht.growthInterestExpense,-0.1323,0.152,-0.873,0.386,0.013,0.7627,62
key_metrics.dividendYield,-0.0095,0.014,-0.694,0.492,0.013,0.481,40
ratio.dividendYield,-0.0095,0.014,-0.694,0.492,0.013,0.481,40
balance_sheet.accountPayables,-1793000000,1860000000,-0.966,0.337,0.012,0.9333,80
income_statement_growht.growthWeightedAverageShsOut,0.0094,0.011,0.873,0.386,0.012,0.7613,66
ratio.assetTurnover,-0.0591,0.065,-0.911,0.365,0.012,0.8299,71
cash_flow.accountsReceivables,-398500000,519000000,-0.767,0.446,0.011,0.5887,54
key_metrics.capexToDepreciation,-0.1998,0.254,-0.787,0.435,0.01,0.6188,61
ratio.fixedAssetTurnover,2.3833,3.052,0.781,0.438,0.01,0.6098,61
balance_sheet.totalStockholdersEquity,10730000000,13500000000,0.792,0.431,0.009,0.6268,75
balance_sheet.totalDebt,-2597000000,3430000000,-0.757,0.452,0.009,0.5727,65
income_statement_growht.growthNetIncome,0.2726,0.35,0.78,0.438,0.009,0.6078,70
key_metrics.averagePayables,-1271000000,1650000000,-0.769,0.445,0.009,0.5913,66
ratio.grossProfitMargin,0.0648,0.084,0.771,0.443,0.009,0.595,70
balance_sheet.totalNonCurrentAssets,27390000000,33700000000,0.812,0.419,0.008,0.6597,82
cash_flow.salesMaturitiesOfInvestments,1162000000,2400000000,0.483,0.632,0.008,0.2336,32
financial_growth.netIncomeGrowth,0.3147,0.403,0.78,0.438,0.008,0.6087,75
financial_growth.debtGrowth,-0.0767,0.107,-0.717,0.476,0.008,0.5136,65
income_statement.ebitdaratio,0.0429,0.055,0.786,0.434,0.008,0.6173,78
income_statement.operatingIncome,4027000000,4880000000,0.825,0.412,0.008,0.6813,84
income_statement_growht.growthEPS,0.2351,0.307,0.767,0.446,0.008,0.5881,72
key_metrics.daysSalesOutstanding,-8.833,12.125,-0.728,0.469,0.008,0.5307,64
ratio.daysOfSalesOutstanding,-8.833,12.125,-0.728,0.469,0.008,0.5307,64
balance_sheet.goodwillAndIntangibleAssets,-3482000000,5180000000,-0.672,0.504,0.007,0.4512,66
key_metrics.bookValuePerShare,-2.7189,3.91,-0.695,0.489,0.007,0.4836,66
key_metrics.shareholdersEquityPerShare,-2.7189,3.91,-0.695,0.489,0.007,0.4836,66
key_metrics.roe,-0.0466,0.068,-0.687,0.494,0.007,0.4722,72
ratio.returnOnEquity,-0.0466,0.068,-0.687,0.494,0.007,0.4722,72
balance_sheet.otherNonCurrentLiabilities,454300000,773000000,0.588,0.559,0.006,0.3458,62
cash_flow.otherWorkingCapital,682000000,1090000000,0.626,0.533,0.006,0.3923,64
cash_flow.investmentsInPropertyPlantAndEquipment,-913400000,1460000000,-0.625,0.534,0.006,0.3907,68
cash_flow.capitalExpenditure,-913400000,1460000000,-0.625,0.534,0.006,0.3907,68
financial_growth.rdexpenseGrowth,0.0307,0.076,0.402,0.691,0.006,0.162,28
income_statement_growht.growthResearchAndDevelopmentExpenses,0.0307,0.076,0.402,0.691,0.006,0.162,28
income_statement_growht.growthEPSDiluted,0.1889,0.295,0.64,0.524,0.006,0.4093,71
income_statement_growht.growthWeightedAverageShsOutDil,0.0074,0.012,0.608,0.545,0.006,0.3696,68
key_metrics.currentRatio,-0.2915,0.482,-0.604,0.548,0.006,0.365,67
key_metrics.payoutRatio,-0.1367,0.293,-0.466,0.644,0.006,0.2169,39
ratio.currentRatio,-0.2915,0.482,-0.604,0.548,0.006,0.365,67
ratio.payoutRatio,-0.1367,0.293,-0.466,0.644,0.006,0.2169,39
ratio.freeCashFlowOperatingCashFlowRatio,-0.0849,0.124,-0.683,0.497,0.006,0.4666,74
ratio.dividendPayoutRatio,-0.1367,0.293,-0.466,0.644,0.006,0.2169,39
balance_sheet.totalCurrentAssets,-3345000000,5650000000,-0.592,0.556,0.005,0.3504,75
financial_growth.tenYNetIncomeGrowthPerShare,-0.6265,1.165,-0.538,0.593,0.005,0.289,64
income_statement.netIncomeRatio,0.0331,0.054,0.616,0.54,0.005,0.379,83
ratio.effectiveTaxRate,0.0542,0.096,0.564,0.575,0.005,0.3183,64
balance_sheet.netReceivables,-1326000000,2580000000,-0.513,0.609,0.004,0.2636,75
balance_sheet.inventory,-178100000,399000000,-0.446,0.658,0.004,0.1988,46
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,676200000,1430000000,0.471,0.639,0.004,0.2222,64
cash_flow.deferredIncomeTax,-85170000,185000000,-0.462,0.646,0.004,0.213,60
financial_growth.inventoryGrowth,-0.0594,0.144,-0.412,0.682,0.004,0.1701,40
income_statement_growht.growthCostAndExpenses,0.0358,0.062,0.576,0.567,0.004,0.3312,77
key_metrics.revenuePerShare,-4.0552,8.179,-0.496,0.622,0.004,0.2458,68
key_metrics.enterpriseValue,34510000000,68300000000,0.505,0.615,0.004,0.2551,70
key_metrics.averageReceivables,-1428000000,3020000000,-0.473,0.638,0.004,0.2241,60
balance_sheet.goodwill,2167000000,5080000000,0.426,0.671,0.003,0.1817,71
financial_growth.threeYDividendperShareGrowthPerShare,0.0738,0.261,0.283,0.779,0.003,0.08008,33
income_statement_growht.growthEBITDA,0.0509,0.107,0.477,0.635,0.003,0.2277,72
income_statement_growht.growthIncomeBeforeTaxRatio,0.0623,0.148,0.421,0.675,0.003,0.1774,65
key_metrics.marketCap,18790000000,43000000000,0.437,0.664,0.003,0.1906,68
key_metrics.debtToEquity,-0.4118,0.965,-0.427,0.671,0.003,0.1819,71
key_metrics.salesGeneralAndAdministrativeToRevenue,0.0042,0.017,0.245,0.809,0.003,0.05999,25
key_metrics.capexToOperatingCashFlow,1.0642,2.321,0.458,0.648,0.003,0.2102,67
ratio.cashConversionCycle,8.6016,19.893,0.432,0.667,0.003,0.187,66
ratio.netProfitMargin,0.0272,0.059,0.459,0.648,0.003,0.2102,74
ratio.debtEquityRatio,-0.4118,0.965,-0.427,0.671,0.003,0.1819,71
ratio.capitalExpenditureCoverageRatio,1.0642,2.321,0.458,0.648,0.003,0.2102,67
enterprise_value.marketCapitalization,20770000000,44900000000,0.463,0.645,0.003,0.2144,75
cash_flow.otherNonCashItems,26280000,78300000,0.335,0.739,0.002,0.1126,54
cash_flow.netCashProvidedByOperatingActivities,2409000000,5710000000,0.422,0.674,0.002,0.1781,79
cash_flow.operatingCashFlow,2409000000,5710000000,0.422,0.674,0.002,0.1781,79
financial_growth.freeCashFlowGrowth,0.0715,0.203,0.353,0.725,0.002,0.1244,74
financial_growth.threeYShareholdersEquityGrowthPerShare,0.0897,0.258,0.348,0.729,0.002,0.1211,76
income_statement.revenue,6689000000,18300000000,0.366,0.715,0.002,0.134,78
income_statement.costAndExpenses,5648000000,14300000000,0.394,0.694,0.002,0.1556,78
income_statement.weightedAverageShsOutDil,-37480000,111000000,-0.338,0.736,0.002,0.1143,65
key_metrics.interestCoverage,1.4271,4.615,0.309,0.758,0.002,0.09561,58
key_metrics.capexPerShare,-0.3364,0.861,-0.391,0.697,0.002,0.1526,65
ratio.interestCoverage,1.4271,4.615,0.309,0.758,0.002,0.09561,58
ratio.cashFlowToDebtRatio,-0.0269,0.136,-0.198,0.845,0.002,0.03938,21
ratio.cashFlowCoverageRatios,-0.0269,0.136,-0.198,0.845,0.002,0.03938,21
enterprise_value.numberOfShares,-40620000,108000000,-0.375,0.709,0.002,0.1404,65
balance_sheet.shortTermInvestments,3414000000,19500000000,0.175,0.863,0.001,0.0306,27
balance_sheet.otherNonCurrentAssets,-149800000,787000000,-0.19,0.85,0.001,0.03626,68
balance_sheet.totalCurrentLiabilities,-1101000000,4620000000,-0.238,0.812,0.001,0.05673,77
balance_sheet.retainedEarnings,-2555000000,10300000000,-0.249,0.804,0.001,0.06202,78
cash_flow.netIncome,925200000,2940000000,0.314,0.754,0.001,0.09891,77
financial_growth.fiveYNetIncomeGrowthPerShare,0.1726,0.907,0.19,0.85,0.001,0.03621,67
income_statement.incomeBeforeTax,1285000000,4420000000,0.291,0.772,0.001,0.08446,82
income_statement.incomeTaxExpense,65160000,251000000,0.26,0.796,0.001,0.06743,61
income_statement.netIncome,939200000,2900000000,0.324,0.747,0.001,0.105,77
income_statement_growht.growthIncomeBeforeTax,-0.0692,0.247,-0.281,0.78,0.001,0.0787,74
key_metrics.netIncomePerShare,-0.3932,1.309,-0.3,0.765,0.001,0.0902,69
key_metrics.freeCashFlowPerShare,-0.2932,1.496,-0.196,0.845,0.001,0.03838,68
key_metrics.tangibleBookValuePerShare,-1.5059,6.924,-0.217,0.829,0.001,0.0473,67
key_metrics.roic,-0.0081,0.037,-0.218,0.828,0.001,0.04737,71
key_metrics.daysPayablesOutstanding,-3.2059,14.002,-0.229,0.82,0.001,0.05242,57
ratio.quickRatio,-0.0992,0.46,-0.216,0.83,0.001,0.04661,67
ratio.daysOfPayablesOutstanding,-3.2059,14.002,-0.229,0.82,0.001,0.05242,57
ratio.operatingProfitMargin,0.0083,0.039,0.212,0.832,0.001,0.0451,74
ratio.returnOnAssets,-0.0067,0.023,-0.291,0.772,0.001,0.08479,69
ratio.returnOnCapitalEmployed,-0.0081,0.037,-0.218,0.828,0.001,0.04737,71
ratio.totalDebtToCapitalization,0.016,0.146,0.109,0.914,0.001,0.01187,22
ratio.companyEquityMultiplier,0.212,0.829,0.256,0.799,0.001,0.06533,70
ratio.freeCashFlowPerShare,-0.2932,1.496,-0.196,0.845,0.001,0.03838,68
balance_sheet.totalNonCurrentLiabilities,345000000,5320000000,0.065,0.948,0,0.004214,67
balance_sheet.otherLiabilities,-41600000,813000000,-0.051,0.959,0,0.002616,43
cash_flow.debtRepayment,116000000,2160000000,0.054,0.957,0,0.002881,63
cash_flow.otherFinancingActivites,5677000,69200000,0.082,0.935,0,0.006733,56
cash_flow.freeCashFlow,17470000,2180000000,0.008,0.994,0,6.41E-05,73
financial_growth.epsgrowth,0.0049,0.423,0.012,0.991,0,0.0001355,79
financial_growth.epsdilutedGrowth,0.0019,0.422,0.004,0.997,0,1.92E-05,79
financial_growth.dividendsperShareGrowth,-8.46E-05,0.062,-0.001,0.999,0,1.84E-06,35
income_statement.grossProfit,1615000000,13900000000,0.116,0.908,0,0.01351,79
income_statement.operatingExpenses,-50720000,6940000000,-0.007,0.994,0,5.34E-05,76
income_statement.operatingIncomeRatio,0.0068,0.046,0.146,0.884,0,0.02145,82
income_statement.incomeBeforeTaxRatio,-0.003,0.046,-0.066,0.947,0,0.004411,81
income_statement.eps,-0.0891,1.36,-0.065,0.948,0,0.004286,76
income_statement.epsdiluted,-0.0632,1.352,-0.047,0.963,0,0.00219,76
income_statement.weightedAverageShsOut,-15320000,108000000,-0.142,0.888,0,0.02012,65
income_statement_growht.growthSellingAndMarketingExpenses,-0.0036,0.121,-0.03,0.976,0,0.0008841,31
income_statement_growht.growthOperatingExpenses,0.0037,0.069,0.054,0.957,0,0.002926,75
income_statement_growht.growthEBITDARatio,0.0106,0.067,0.158,0.875,0,0.02488,71
income_statement_growht.growthOperatingIncomeRatio,0.0107,0.129,0.082,0.935,0,0.006769,67
income_statement_growht.growthNetIncomeRatio,-0.0254,0.284,-0.09,0.929,0,0.008017,68
key_metrics.operatingCashFlowPerShare,-0.0258,1.429,-0.018,0.986,0,0.0003263,66
ratio.pretaxProfitMargin,0.0014,0.05,0.028,0.978,0,0.0007883,71
ratio.netIncomePerEBT,-0.0059,0.11,-0.054,0.957,0,0.002864,64
ratio.ebitPerRevenue,0.0014,0.05,0.028,0.978,0,0.0007883,71
ratio.operatingCashFlowPerShare,-0.0258,1.429,-0.018,0.986,0,0.0003263,66
S&P500_INFO.Column1,-4.3407,68.92,-0.063,0.95,0,0.003967,86
