dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.cashPerShare,-1.0749,0.724,-1.485,0.139,0.01,2.205,230
enterprise_value.addTotalDebt,-980200000,686000000,-1.429,0.155,0.01,2.041,210
income_statement_growht.growthGrossProfitRatio,0.0088,0.006,1.432,0.154,0.009,2.051,230
cash_flow.depreciationAndAmortization,-108000000,79200000,-1.364,0.174,0.008,1.861,229
cash_flow.deferredIncomeTax,28740000,22700000,1.267,0.207,0.008,1.605,201
financial_growth.fiveYNetIncomeGrowthPerShare,0.3356,0.254,1.322,0.188,0.008,1.747,230
key_metrics.bookValuePerShare,-3.6256,2.708,-1.339,0.182,0.008,1.793,236
key_metrics.shareholdersEquityPerShare,-3.6256,2.708,-1.339,0.182,0.008,1.793,236
key_metrics.payablesTurnover,-1.6259,1.317,-1.234,0.219,0.008,1.523,201
ratio.payablesTurnover,-1.6259,1.317,-1.234,0.219,0.008,1.523,201
balance_sheet.netReceivables,-388200000,308000000,-1.261,0.209,0.007,1.59,236
balance_sheet.intangibleAssets,-249900000,192000000,-1.3,0.195,0.007,1.689,229
balance_sheet.goodwillAndIntangibleAssets,-1024000000,811000000,-1.263,0.208,0.007,1.595,229
balance_sheet.otherAssets,-238700000,233000000,-1.026,0.306,0.007,1.053,149
cash_flow.stockBasedCompensation,-36350000,30100000,-1.207,0.229,0.007,1.457,222
cash_flow.dividendsPaid,159400000,152000000,1.046,0.297,0.007,1.094,149
income_statement.costAndExpenses,-1464000000,1140000000,-1.281,0.201,0.007,1.641,239
key_metrics.incomeQuality,0.1305,0.113,1.158,0.248,0.007,1.341,188
key_metrics.averagePayables,-181300000,146000000,-1.238,0.217,0.007,1.532,210
balance_sheet.inventory,-260800000,268000000,-0.973,0.332,0.006,0.947,153
balance_sheet.otherCurrentAssets,-114300000,115000000,-0.998,0.32,0.006,0.9957,159
balance_sheet.longTermInvestments,-180900000,295000000,-0.614,0.542,0.006,0.3767,65
balance_sheet.totalNonCurrentLiabilities,-970900000,802000000,-1.21,0.228,0.006,1.464,230
balance_sheet.othertotalStockholdersEquity,-10410000,19300000,-0.539,0.592,0.006,0.291,51
financial_growth.tenYNetIncomeGrowthPerShare,0.6189,0.513,1.206,0.229,0.006,1.454,231
financial_growth.tenYShareholdersEquityGrowthPerShare,0.3668,0.319,1.151,0.251,0.006,1.325,227
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.2093,0.178,1.179,0.24,0.006,1.39,239
income_statement.netIncomeRatio,0.0282,0.023,1.236,0.218,0.006,1.528,262
income_statement_growht.growthWeightedAverageShsOut,0.0077,0.007,1.177,0.24,0.006,1.385,234
key_metrics.tangibleBookValuePerShare,-2.7683,2.4,-1.154,0.25,0.006,1.331,226
key_metrics.daysOfInventoryOnHand,-12.8028,13.849,-0.924,0.357,0.006,0.8546,140
ratio.daysOfInventoryOutstanding,-12.8028,13.849,-0.924,0.357,0.006,0.8546,140
ratio.fixedAssetTurnover,1.1968,1.156,1.035,0.302,0.006,1.072,192
enterprise_value.enterpriseValue,7541000000,6620000000,1.139,0.256,0.006,1.298,233
balance_sheet.totalCurrentAssets,-1228000000,1160000000,-1.061,0.29,0.005,1.125,240
balance_sheet.goodwill,-712700000,680000000,-1.048,0.296,0.005,1.098,233
financial_growth.weightedAverageSharesGrowth,0.0064,0.006,1.036,0.301,0.005,1.072,232
financial_growth.tenYRevenueGrowthPerShare,0.2924,0.267,1.095,0.274,0.005,1.2,247
income_statement_growht.growthDepreciationAndAmortization,-0.0431,0.04,-1.073,0.285,0.005,1.151,222
income_statement_growht.growthTotalOtherIncomeExpensesNet,0.3156,0.311,1.015,0.311,0.005,1.03,193
income_statement_growht.growthEPSDiluted,0.1145,0.113,1.012,0.313,0.005,1.024,227
ratio.operatingCycle,-13.4366,12.674,-1.06,0.29,0.005,1.124,222
ratio.cashConversionCycle,-13.881,13.112,-1.059,0.291,0.005,1.121,212
cash_flow.accountsReceivables,-31410000,33800000,-0.929,0.354,0.004,0.8635,212
income_statement_growht.growthEPS,0.1074,0.113,0.954,0.341,0.004,0.9104,228
key_metrics.currentRatio,-0.2229,0.227,-0.983,0.326,0.004,0.967,224
key_metrics.averageReceivables,-310500000,350000000,-0.888,0.376,0.004,0.7878,208
ratio.currentRatio,-0.2229,0.227,-0.983,0.326,0.004,0.967,224
balance_sheet.totalStockholdersEquity,-961300000,1140000000,-0.846,0.399,0.003,0.7153,239
balance_sheet.netDebt,-406400000,508000000,-0.8,0.424,0.003,0.6407,235
financial_growth.netIncomeGrowth,0.0859,0.111,0.771,0.441,0.003,0.5947,235
financial_growth.threeYShareholdersEquityGrowthPerShare,0.0906,0.109,0.833,0.406,0.003,0.6935,228
income_statement.researchAndDevelopmentExpenses,-106400000,157000000,-0.677,0.499,0.003,0.4581,178
income_statement.generalAndAdministrativeExpenses,-181300000,210000000,-0.864,0.389,0.003,0.7458,230
income_statement.operatingExpenses,-288500000,356000000,-0.811,0.418,0.003,0.6583,236
income_statement.depreciationAndAmortization,-61170000,69500000,-0.88,0.38,0.003,0.7741,235
income_statement.operatingIncome,-212000000,242000000,-0.875,0.382,0.003,0.7661,231
key_metrics.netIncomePerShare,-0.4356,0.523,-0.832,0.406,0.003,0.6924,231
key_metrics.debtToAssets,0.0414,0.05,0.83,0.408,0.003,0.6881,236
key_metrics.roe,0.035,0.046,0.768,0.444,0.003,0.5893,214
ratio.netProfitMargin,0.0209,0.025,0.824,0.411,0.003,0.6786,230
ratio.returnOnAssets,0.013,0.015,0.859,0.391,0.003,0.7382,230
ratio.returnOnEquity,0.035,0.046,0.768,0.444,0.003,0.5893,214
ratio.debtRatio,0.0414,0.05,0.83,0.408,0.003,0.6881,236
ratio.freeCashFlowOperatingCashFlowRatio,0.0189,0.025,0.741,0.459,0.003,0.5498,220
balance_sheet.otherNonCurrentAssets,-78560000,122000000,-0.644,0.52,0.002,0.4152,211
balance_sheet.totalCurrentLiabilities,-469100000,644000000,-0.729,0.467,0.002,0.5311,230
balance_sheet.deferredTaxLiabilitiesNonCurrent,-41930000,83100000,-0.504,0.615,0.002,0.2543,155
balance_sheet.retainedEarnings,822700000,1300000000,0.632,0.528,0.002,0.3994,232
cash_flow.otherWorkingCapital,-274600000,426000000,-0.645,0.52,0.002,0.4155,239
cash_flow.netCashProvidedByOperatingActivities,-215200000,348000000,-0.619,0.536,0.002,0.3834,237
cash_flow.debtRepayment,239000000,345000000,0.692,0.489,0.002,0.4795,199
cash_flow.cashAtEndOfPeriod,-287400000,450000000,-0.639,0.524,0.002,0.408,245
cash_flow.operatingCashFlow,-215200000,348000000,-0.619,0.536,0.002,0.3834,237
financial_growth.threeYDividendperShareGrowthPerShare,0.0396,0.081,0.49,0.625,0.002,0.2403,148
income_statement.ebitdaratio,-0.0189,0.025,-0.744,0.458,0.002,0.5536,259
income_statement.incomeTaxExpense,-41030000,56200000,-0.73,0.466,0.002,0.5332,220
key_metrics.grahamNumber,-2.8979,3.949,-0.734,0.464,0.002,0.5384,226
key_metrics.averageInventory,-142700000,286000000,-0.499,0.618,0.002,0.2492,131
key_metrics.inventoryTurnover,-0.6763,1.344,-0.503,0.616,0.002,0.2533,123
ratio.inventoryTurnover,-0.6763,1.344,-0.503,0.616,0.002,0.2533,123
ratio.operatingCashFlowSalesRatio,0.0216,0.029,0.734,0.464,0.002,0.539,237
enterprise_value.marketCapitalization,4958000000,7290000000,0.68,0.497,0.002,0.4625,231
balance_sheet.deferredRevenue,-85270000,214000000,-0.398,0.691,0.001,0.1584,197
cash_flow.inventory,-12340000,36800000,-0.335,0.738,0.001,0.1122,135
cash_flow.otherInvestingActivites,-37400000,94200000,-0.397,0.692,0.001,0.1578,143
cash_flow.effectOfForexChangesOnCash,1744000,7710000,0.226,0.822,0.001,0.05114,44
financial_growth.fiveYDividendperShareGrowthPerShare,0.059,0.168,0.352,0.725,0.001,0.1239,134
income_statement.incomeBeforeTaxRatio,0.0145,0.025,0.576,0.565,0.001,0.3317,262
income_statement.eps,-0.2599,0.489,-0.531,0.596,0.001,0.282,255
income_statement.epsdiluted,-0.2781,0.485,-0.574,0.567,0.001,0.3294,256
income_statement_growht.growthOtherExpenses,0.1345,0.296,0.454,0.65,0.001,0.2065,176
income_statement_growht.growthInterestExpense,-0.0313,0.07,-0.446,0.656,0.001,0.1986,204
key_metrics.interestDebtPerShare,-1.206,2.196,-0.549,0.583,0.001,0.3017,220
key_metrics.enterpriseValue,3272000000,6450000000,0.507,0.613,0.001,0.2572,202
key_metrics.capexToDepreciation,-0.107,0.215,-0.498,0.619,0.001,0.2481,225
key_metrics.roic,0.0133,0.025,0.524,0.601,0.001,0.2743,228
key_metrics.returnOnTangibleAssets,0.0133,0.023,0.583,0.56,0.001,0.3401,231
key_metrics.tangibleAssetValue,268300000,738000000,0.363,0.717,0.001,0.132,200
key_metrics.netCurrentAssetValue,542500000,980000000,0.553,0.581,0.001,0.3063,212
key_metrics.daysSalesOutstanding,-2.0266,5.775,-0.351,0.726,0.001,0.1232,212
key_metrics.daysPayablesOutstanding,3.7688,7.068,0.533,0.594,0.001,0.2843,214
key_metrics.receivablesTurnover,-0.1719,0.497,-0.346,0.73,0.001,0.1198,219
ratio.quickRatio,-0.068,0.192,-0.354,0.724,0.001,0.1251,226
ratio.cashRatio,-0.0538,0.112,-0.479,0.632,0.001,0.2299,229
ratio.daysOfSalesOutstanding,-2.0266,5.775,-0.351,0.726,0.001,0.1232,212
ratio.daysOfPayablesOutstanding,3.7688,7.068,0.533,0.594,0.001,0.2843,214
ratio.pretaxProfitMargin,0.0119,0.028,0.424,0.672,0.001,0.1797,230
ratio.returnOnCapitalEmployed,0.0133,0.025,0.524,0.601,0.001,0.2743,228
ratio.netIncomePerEBT,-0.0179,0.034,-0.523,0.601,0.001,0.2739,193
ratio.ebitPerRevenue,0.0119,0.028,0.424,0.672,0.001,0.1797,230
ratio.receivablesTurnover,-0.1719,0.497,-0.346,0.73,0.001,0.1198,219
ratio.assetTurnover,-0.0256,0.049,-0.526,0.6,0.001,0.2762,216
balance_sheet.cashAndCashEquivalents,-16150000,364000000,-0.044,0.965,0,0.001964,240
balance_sheet.cashAndShortTermInvestments,-63020000,524000000,-0.12,0.904,0,0.01444,243
balance_sheet.taxAssets,7809000,98400000,0.079,0.937,0,0.006296,121
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,8353000,201000000,0.042,0.967,0,0.001726,230
cash_flow.netIncome,-55970000,232000000,-0.241,0.81,0,0.05816,234
cash_flow.otherFinancingActivites,6255000,23100000,0.27,0.787,0,0.07313,152
cash_flow.freeCashFlow,93050000,295000000,0.315,0.753,0,0.09918,237
financial_growth.epsgrowth,0.0322,0.122,0.263,0.793,0,0.0691,231
financial_growth.epsdilutedGrowth,0.0364,0.122,0.299,0.765,0,0.08958,231
financial_growth.weightedAverageSharesDilutedGrowth,-0.0017,0.006,-0.262,0.794,0,0.06846,233
financial_growth.debtGrowth,-0.0102,0.049,-0.209,0.835,0,0.04352,203
income_statement.sellingAndMarketingExpenses,-10490000,178000000,-0.059,0.953,0,0.003466,105
income_statement.operatingIncomeRatio,0.0066,0.025,0.269,0.788,0,0.07215,262
income_statement.totalOtherIncomeExpensesNet,-1784000,10300000,-0.172,0.863,0,0.02971,190
income_statement.incomeBeforeTax,-43390000,228000000,-0.19,0.849,0,0.03628,230
income_statement.netIncome,-68810000,239000000,-0.288,0.774,0,0.08279,235
income_statement_growht.growthNetIncomeRatio,0.0145,0.09,0.161,0.872,0,0.02594,226
income_statement_growht.growthWeightedAverageShsOutDil,-0.0002,0.007,-0.023,0.982,0,0.0005207,234
key_metrics.operatingCashFlowPerShare,0.0527,0.601,0.088,0.93,0,0.007683,226
key_metrics.marketCap,1934000000,6850000000,0.282,0.778,0,0.07959,204
key_metrics.netDebtToEBITDA,-0.1003,0.34,-0.295,0.768,0,0.08699,224
key_metrics.interestCoverage,-0.3734,3.587,-0.104,0.917,0,0.01083,197
key_metrics.researchAndDdevelopementToRevenue,0.0027,0.015,0.171,0.864,0,0.02933,180
key_metrics.intangiblesToTotalAssets,-0.0095,0.05,-0.19,0.849,0,0.03619,238
key_metrics.grahamNetNet,-0.6298,2.766,-0.228,0.82,0,0.05186,219
key_metrics.workingCapital,-204500000,637000000,-0.321,0.749,0,0.1029,214
ratio.operatingProfitMargin,0.007,0.026,0.265,0.791,0,0.07021,229
ratio.effectiveTaxRate,-0.0092,0.031,-0.297,0.767,0,0.08799,193
ratio.longTermDebtToCapitalization,-0.0007,0.054,-0.014,0.989,0,0.0001928,204
ratio.interestCoverage,-0.3734,3.587,-0.104,0.917,0,0.01083,197
ratio.cashFlowToDebtRatio,-0.0037,0.161,-0.023,0.982,0,0.0005375,69
ratio.operatingCashFlowPerShare,0.0527,0.601,0.088,0.93,0,0.007683,226
ratio.cashPerShare,0.1428,1.098,0.13,0.897,0,0.01691,230
ratio.cashFlowCoverageRatios,-0.0037,0.161,-0.023,0.982,0,0.0005375,69
ratio.shortTermCoverageRatios,-0.3055,2.015,-0.152,0.88,0,0.023,67
enterprise_value.minusCashAndCashEquivalents,-16150000,364000000,-0.044,0.965,0,0.001964,240
S&P500_INFO.Column1,-5.9993,30.765,-0.195,0.846,0,0.03803,273
S&P500_INFO.CIK,28480,103000,0.276,0.783,0,0.07619,273
