dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
balance_sheet.otherAssets,-271500000,176000000,-1.541,0.125,0.015,2.374,156
income_statement.ebitdaratio,0.0367,0.019,1.886,0.061,0.015,3.556,232
income_statement.eps,1.7999,0.947,1.901,0.059,0.015,3.612,242
income_statement.epsdiluted,1.8003,0.941,1.914,0.057,0.015,3.663,242
income_statement.weightedAverageShsOut,-98260000,51200000,-1.918,0.056,0.015,3.68,243
income_statement.weightedAverageShsOutDil,-98810000,51000000,-1.938,0.054,0.015,3.756,242
key_metrics.capexToDepreciation,-0.2445,0.138,-1.773,0.078,0.015,3.145,208
enterprise_value.numberOfShares,-98260000,51200000,-1.918,0.056,0.015,3.68,243
balance_sheet.longTermDebt,-2789000000,1490000000,-1.873,0.062,0.014,3.51,243
cash_flow.netCashUsedForInvestingActivites,-327700000,377000000,-0.868,0.389,0.014,0.754,56
cash_flow.netChangeInCash,140900000,83800000,1.683,0.094,0.014,2.831,206
financial_growth.fiveYNetIncomeGrowthPerShare,0.4038,0.226,1.786,0.076,0.014,3.189,224
income_statement_growht.growthIncomeTaxExpense,0.2873,0.163,1.767,0.079,0.014,3.123,228
ratio.shortTermCoverageRatios,4.2184,3.875,1.089,0.279,0.014,1.185,88
balance_sheet.otherCurrentAssets,-183500000,130000000,-1.409,0.161,0.013,1.986,153
income_statement.costAndExpenses,-4665000000,2640000000,-1.766,0.079,0.013,3.117,239
ratio.quickRatio,0.2262,0.134,1.684,0.094,0.013,2.835,217
cash_flow.effectOfForexChangesOnCash,-6127000,8820000,-0.695,0.491,0.012,0.4825,41
income_statement.interestExpense,-105100000,63800000,-1.647,0.101,0.012,2.713,234
key_metrics.researchAndDdevelopementToRevenue,0.0062,0.007,0.848,0.4,0.012,0.7195,63
S&P500_INFO.CIK,241300,134000,1.807,0.072,0.012,3.265,264
balance_sheet.cashAndShortTermInvestments,-635200000,387000000,-1.643,0.102,0.011,2.7,241
cash_flow.otherInvestingActivites,33220000,24700000,1.344,0.181,0.011,1.807,161
key_metrics.averageReceivables,-506800000,356000000,-1.424,0.156,0.011,2.028,183
balance_sheet.netReceivables,-455200000,311000000,-1.465,0.145,0.01,2.145,212
balance_sheet.otherCurrentLiabilities,-276600000,216000000,-1.281,0.202,0.01,1.641,162
balance_sheet.totalNonCurrentLiabilities,-4373000000,2750000000,-1.59,0.113,0.01,2.529,251
balance_sheet.totalInvestments,-270800000,472000000,-0.574,0.57,0.01,0.3295,34
cash_flow.otherNonCashItems,-45900000,38800000,-1.184,0.238,0.01,1.401,147
key_metrics.grahamNumber,13.7932,9.245,1.492,0.137,0.01,2.226,212
ratio.longTermDebtToCapitalization,-0.0792,0.055,-1.449,0.149,0.01,2.099,206
ratio.priceEarningsToGrowthRatio,1.3147,0.938,1.402,0.162,0.01,1.965,200
balance_sheet.goodwillAndIntangibleAssets,-2106000000,1480000000,-1.422,0.156,0.009,2.023,232
cash_flow.changeInWorkingCapital,150400000,112000000,1.338,0.182,0.009,1.791,204
financial_growth.weightedAverageSharesGrowth,0.0079,0.006,1.429,0.154,0.009,2.042,227
financial_growth.threeYRevenueGrowthPerShare,-0.0742,0.049,-1.509,0.133,0.009,2.277,242
balance_sheet.intangibleAssets,-540500000,406000000,-1.332,0.184,0.008,1.774,219
balance_sheet.otherLiabilities,-351600000,318000000,-1.104,0.271,0.008,1.219,147
cash_flow.cashAtEndOfPeriod,-427700000,307000000,-1.395,0.164,0.008,1.946,235
financial_growth.grossProfitGrowth,0.0357,0.026,1.37,0.172,0.008,1.876,233
financial_growth.dividendsperShareGrowth,-0.0319,0.025,-1.264,0.208,0.008,1.597,197
income_statement_growht.growthWeightedAverageShsOutDil,0.007,0.005,1.328,0.185,0.008,1.764,234
key_metrics.freeCashFlowPerShare,1.2873,0.973,1.323,0.187,0.008,1.751,207
key_metrics.bookValuePerShare,5.9309,4.485,1.322,0.188,0.008,1.749,208
key_metrics.shareholdersEquityPerShare,5.9309,4.485,1.322,0.188,0.008,1.749,208
key_metrics.netDebtToEBITDA,-0.443,0.335,-1.324,0.187,0.008,1.753,207
key_metrics.intangiblesToTotalAssets,0.0798,0.063,1.257,0.21,0.008,1.58,202
ratio.returnOnAssets,0.0153,0.012,1.329,0.185,0.008,1.767,209
ratio.freeCashFlowPerShare,1.2873,0.973,1.323,0.187,0.008,1.751,207
cash_flow.stockBasedCompensation,-14260000,12500000,-1.143,0.254,0.007,1.307,198
financial_growth.weightedAverageSharesDilutedGrowth,0.0065,0.005,1.252,0.212,0.007,1.567,232
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.0283,0.023,1.226,0.222,0.007,1.504,203
income_statement_growht.growthSellingAndMarketingExpenses,0.0322,0.073,0.444,0.66,0.007,0.1973,30
key_metrics.averageInventory,-314700000,295000000,-1.066,0.288,0.007,1.136,164
ratio.cashRatio,0.0568,0.049,1.155,0.249,0.007,1.334,204
balance_sheet.inventory,-299700000,287000000,-1.043,0.298,0.006,1.087,195
income_statement_growht.growthCostAndExpenses,0.0249,0.022,1.134,0.258,0.006,1.285,227
income_statement_growht.growthInterestExpense,-0.0645,0.058,-1.106,0.27,0.006,1.223,206
income_statement_growht.growthOperatingIncome,0.0587,0.051,1.147,0.253,0.006,1.315,230
key_metrics.roic,0.0238,0.021,1.138,0.257,0.006,1.294,213
ratio.returnOnCapitalEmployed,0.0238,0.021,1.138,0.257,0.006,1.294,213
S&P500_INFO.Column1,42.9723,33.359,1.288,0.199,0.006,1.659,260
balance_sheet.otherNonCurrentAssets,-162900000,166000000,-0.98,0.328,0.005,0.9602,204
balance_sheet.deferredRevenue,156600000,195000000,0.803,0.423,0.005,0.6455,133
financial_growth.threeYOperatingCFGrowthPerShare,0.094,0.09,1.049,0.295,0.005,1.101,232
income_statement_growht.growthGrossProfit,0.0254,0.024,1.047,0.296,0.005,1.096,228
income_statement_growht.growthWeightedAverageShsOut,0.0056,0.005,1.044,0.298,0.005,1.09,231
key_metrics.netIncomePerShare,1.0446,1.004,1.04,0.3,0.005,1.082,205
ratio.fixedAssetTurnover,0.8608,0.936,0.92,0.359,0.005,0.8457,178
balance_sheet.commonStock,-42510000,43900000,-0.969,0.334,0.004,0.9388,213
cash_flow.netIncome,-262200000,269000000,-0.977,0.33,0.004,0.9537,232
cash_flow.accountsPayables,24530000,31900000,0.77,0.442,0.004,0.5929,166
financial_growth.tenYRevenueGrowthPerShare,0.1707,0.173,0.987,0.325,0.004,0.9736,244
financial_growth.tenYNetIncomeGrowthPerShare,0.4521,0.51,0.886,0.377,0.004,0.7853,222
financial_growth.threeYNetIncomeGrowthPerShare,0.1526,0.162,0.944,0.346,0.004,0.8913,227
income_statement.operatingIncome,-426800000,436000000,-0.979,0.329,0.004,0.9579,241
income_statement.netIncome,-266000000,270000000,-0.983,0.327,0.004,0.9668,229
income_statement_growht.growthEBITDA,0.0491,0.049,0.999,0.319,0.004,0.9972,234
income_statement_growht.growthIncomeBeforeTax,0.0528,0.059,0.894,0.372,0.004,0.7994,229
key_metrics.revenuePerShare,-9.7172,11.275,-0.862,0.39,0.004,0.7427,205
key_metrics.payoutRatio,-0.0432,0.053,-0.816,0.416,0.004,0.6658,175
ratio.payoutRatio,-0.0432,0.053,-0.816,0.416,0.004,0.6658,175
ratio.freeCashFlowOperatingCashFlowRatio,0.0575,0.064,0.901,0.369,0.004,0.8114,205
ratio.dividendPayoutRatio,-0.0467,0.053,-0.88,0.38,0.004,0.7743,174
balance_sheet.cashAndCashEquivalents,-256500000,297000000,-0.865,0.388,0.003,0.7484,237
balance_sheet.goodwill,-776900000,1020000000,-0.762,0.447,0.003,0.5806,218
balance_sheet.longTermInvestments,-136900000,443000000,-0.309,0.759,0.003,0.09544,38
balance_sheet.otherNonCurrentLiabilities,-199600000,253000000,-0.788,0.432,0.003,0.621,210
cash_flow.deferredIncomeTax,-21500000,29700000,-0.725,0.47,0.003,0.5253,181
cash_flow.netCashProvidedByOperatingActivities,-404200000,483000000,-0.837,0.403,0.003,0.7007,245
cash_flow.operatingCashFlow,-404200000,483000000,-0.837,0.403,0.003,0.7007,245
income_statement.incomeTaxExpense,-72680000,82100000,-0.885,0.377,0.003,0.7836,226
key_metrics.capexToRevenue,-3.7781,5.15,-0.734,0.464,0.003,0.5381,208
key_metrics.netCurrentAssetValue,2137000000,2560000000,0.835,0.405,0.003,0.6974,203
ratio.effectiveTaxRate,0.0209,0.027,0.787,0.432,0.003,0.6194,193
enterprise_value.minusCashAndCashEquivalents,-256500000,297000000,-0.865,0.388,0.003,0.7484,237
cash_flow.acquisitionsNet,35370000,141000000,0.25,0.804,0.002,0.0627,34
financial_growth.revenueGrowth,0.0139,0.02,0.682,0.496,0.002,0.4656,234
financial_growth.fiveYRevenueGrowthPerShare,-0.056,0.073,-0.762,0.447,0.002,0.5813,240
financial_growth.fiveYDividendperShareGrowthPerShare,-0.0877,0.154,-0.569,0.57,0.002,0.324,180
financial_growth.debtGrowth,-0.0283,0.041,-0.692,0.49,0.002,0.4783,223
income_statement.generalAndAdministrativeExpenses,-211000000,306000000,-0.689,0.491,0.002,0.475,208
income_statement_growht.growthIncomeBeforeTaxRatio,0.0304,0.049,0.616,0.539,0.002,0.3794,225
key_metrics.operatingCashFlowPerShare,0.8047,1.365,0.589,0.556,0.002,0.3473,206
key_metrics.workingCapital,-222300000,413000000,-0.538,0.591,0.002,0.29,184
key_metrics.daysPayablesOutstanding,-3.8025,6.451,-0.589,0.556,0.002,0.3474,213
ratio.daysOfPayablesOutstanding,-3.8025,6.451,-0.589,0.556,0.002,0.3474,213
ratio.operatingCashFlowPerShare,0.8047,1.365,0.589,0.556,0.002,0.3473,206
enterprise_value.enterpriseValue,-3729000000,5500000000,-0.677,0.499,0.002,0.459,237
balance_sheet.othertotalStockholdersEquity,94770000,421000000,0.225,0.823,0.001,0.05062,41
cash_flow.dividendsPaid,-70370000,134000000,-0.526,0.599,0.001,0.2771,210
financial_growth.ebitgrowth,0.025,0.046,0.543,0.588,0.001,0.2947,233
financial_growth.operatingIncomeGrowth,0.025,0.046,0.543,0.588,0.001,0.2947,233
financial_growth.netIncomeGrowth,0.034,0.094,0.361,0.719,0.001,0.1302,227
financial_growth.freeCashFlowGrowth,0.0526,0.111,0.476,0.635,0.001,0.2261,219
financial_growth.assetGrowth,0.0094,0.02,0.462,0.644,0.001,0.2138,233
financial_growth.sgaexpensesGrowth,0.0085,0.024,0.351,0.726,0.001,0.1233,204
income_statement.grossProfit,-338800000,892000000,-0.38,0.705,0.001,0.1442,241
income_statement.ebitda,-283600000,637000000,-0.445,0.657,0.001,0.198,246
income_statement.totalOtherIncomeExpensesNet,-7911000,19400000,-0.408,0.684,0.001,0.1667,178
income_statement.incomeBeforeTax,-171500000,376000000,-0.456,0.649,0.001,0.208,238
income_statement_growht.growthRevenue,0.0107,0.022,0.495,0.621,0.001,0.2452,235
income_statement_growht.growthCostOfRevenue,-0.0126,0.023,-0.548,0.584,0.001,0.3007,227
income_statement_growht.growthResearchAndDevelopmentExpenses,-0.0092,0.05,-0.183,0.856,0.001,0.03349,55
income_statement_growht.growthOperatingExpenses,-0.0094,0.027,-0.346,0.73,0.001,0.1196,209
income_statement_growht.growthEPS,-0.0472,0.098,-0.481,0.631,0.001,0.2309,226
income_statement_growht.growthEPSDiluted,-0.0478,0.099,-0.485,0.628,0.001,0.235,226
key_metrics.grahamNetNet,2.8606,6.771,0.422,0.673,0.001,0.1785,195
key_metrics.daysSalesOutstanding,-2.2245,6.021,-0.369,0.712,0.001,0.1365,207
key_metrics.daysOfInventoryOnHand,-4.7085,10.293,-0.457,0.648,0.001,0.2093,177
key_metrics.inventoryTurnover,0.5796,1.637,0.354,0.724,0.001,0.1254,154
key_metrics.capexPerShare,0.2842,0.668,0.425,0.671,0.001,0.1808,201
ratio.daysOfSalesOutstanding,-2.2245,6.021,-0.369,0.712,0.001,0.1365,207
ratio.daysOfInventoryOutstanding,-4.7085,10.293,-0.457,0.648,0.001,0.2093,177
ratio.operatingCycle,-7.3267,14.903,-0.492,0.623,0.001,0.2417,214
ratio.grossProfitMargin,0.0155,0.042,0.365,0.716,0.001,0.133,214
ratio.inventoryTurnover,0.5796,1.637,0.354,0.724,0.001,0.1254,154
ratio.assetTurnover,-0.0334,0.08,-0.416,0.678,0.001,0.1728,202
ratio.dividendPaidAndCapexCoverageRatio,-1.1084,2.423,-0.458,0.648,0.001,0.2093,170
balance_sheet.shortTermInvestments,-69150000,416000000,-0.166,0.868,0,0.02769,70
balance_sheet.taxAssets,-5103000,98100000,-0.052,0.959,0,0.002707,105
balance_sheet.retainedEarnings,165100000,1740000000,0.095,0.924,0,0.009019,228
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,109200000,935000000,0.117,0.907,0,0.01365,220
balance_sheet.totalStockholdersEquity,31800000,1270000000,0.025,0.98,0,0.0006255,245
cash_flow.accountsReceivables,-11170000,47200000,-0.237,0.813,0,0.05599,181
cash_flow.otherWorkingCapital,-67960000,369000000,-0.184,0.854,0,0.03384,204
cash_flow.otherFinancingActivites,2600000,14600000,0.178,0.859,0,0.03161,151
cash_flow.netCashUsedProvidedByFinancingActivities,-37490000,360000000,-0.104,0.917,0,0.01087,55
cash_flow.freeCashFlow,34970000,263000000,0.133,0.894,0,0.01764,234
financial_growth.epsgrowth,-0.0094,0.104,-0.091,0.928,0,0.008197,229
financial_growth.epsdilutedGrowth,-0.0047,0.104,-0.045,0.964,0,0.002063,229
financial_growth.operatingCashFlowGrowth,-0.0052,0.058,-0.088,0.93,0,0.007826,224
financial_growth.threeYShareholdersEquityGrowthPerShare,0.0278,0.09,0.31,0.757,0,0.09587,220
financial_growth.threeYDividendperShareGrowthPerShare,0.0183,0.083,0.22,0.826,0,0.0483,193
financial_growth.inventoryGrowth,-0.009,0.031,-0.291,0.771,0,0.08494,203
financial_growth.rdexpenseGrowth,0.004,0.058,0.07,0.945,0,0.004871,47
income_statement.researchAndDevelopmentExpenses,43540000,458000000,0.095,0.925,0,0.009046,60
income_statement_growht.growthDepreciationAndAmortization,0.0079,0.025,0.314,0.754,0,0.09857,210
income_statement_growht.growthTotalOtherIncomeExpensesNet,-0.0839,0.319,-0.263,0.793,0,0.06931,185
income_statement_growht.growthNetIncome,-0.0235,0.096,-0.243,0.808,0,0.05923,223
income_statement_growht.growthNetIncomeRatio,-0.0057,0.09,-0.063,0.95,0,0.004,219
key_metrics.cashPerShare,0.1718,0.886,0.194,0.846,0,0.03759,202
key_metrics.tangibleBookValuePerShare,0.7034,10.781,0.065,0.948,0,0.004256,209
key_metrics.interestDebtPerShare,-0.4254,4.069,-0.105,0.917,0,0.01093,202
key_metrics.marketCap,-1405000000,4910000000,-0.286,0.775,0,0.08172,200
key_metrics.enterpriseValue,-669900000,5860000000,-0.114,0.909,0,0.01306,198
key_metrics.interestCoverage,-0.2717,2.152,-0.126,0.9,0,0.01593,178
key_metrics.incomeQuality,-0.0283,0.14,-0.202,0.84,0,0.0409,196
key_metrics.salesGeneralAndAdministrativeToRevenue,0.0091,0.089,0.102,0.919,0,0.0105,44
key_metrics.stockBasedCompensationToRevenue,1.73E-05,0.001,0.021,0.983,0,0.000443,192
key_metrics.tangibleAssetValue,212900000,775000000,0.275,0.784,0,0.07546,166
key_metrics.payablesTurnover,-0.0437,1.007,-0.043,0.965,0,0.001886,196
key_metrics.roe,-0.0078,0.033,-0.239,0.811,0,0.0572,188
ratio.cashConversionCycle,2.1568,12.461,0.173,0.863,0,0.02996,205
ratio.returnOnEquity,-0.0078,0.033,-0.239,0.811,0,0.0572,188
ratio.netIncomePerEBT,-0.0061,0.028,-0.216,0.829,0,0.04676,193
ratio.interestCoverage,-0.2717,2.152,-0.126,0.9,0,0.01593,178
ratio.cashFlowToDebtRatio,-0.0149,0.077,-0.194,0.846,0,0.03778,95
ratio.payablesTurnover,-0.0437,1.007,-0.043,0.965,0,0.001886,196
ratio.cashPerShare,-0.1881,1.155,-0.163,0.871,0,0.02655,207
ratio.cashFlowCoverageRatios,-0.0149,0.077,-0.194,0.846,0,0.03778,95
enterprise_value.marketCapitalization,349700000,4780000000,0.073,0.942,0,0.005344,232
