dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
income_statement_growht.growthEPSDiluted,0.2105,0.082,2.564,0.011,0.034,6.574,189
key_metrics.roic,0.0829,0.031,2.651,0.009,0.033,7.027,208
ratio.returnOnCapitalEmployed,0.0829,0.031,2.651,0.009,0.033,7.027,208
income_statement_growht.growthEBITDARatio,0.0787,0.031,2.506,0.013,0.032,6.278,194
key_metrics.evToFreeCashFlow,7.6194,3.158,2.413,0.017,0.031,5.823,187
key_metrics.interestCoverage,7.2484,3.041,2.384,0.018,0.031,5.682,178
ratio.interestCoverage,7.2484,3.041,2.384,0.018,0.031,5.682,178
income_statement.operatingExpenses,-1398000000,550000000,-2.541,0.012,0.03,6.457,211
key_metrics.marketCap,8367000000,3510000000,2.387,0.018,0.03,5.698,187
financial_growth.threeYDividendperShareGrowthPerShare,0.2675,0.123,2.175,0.031,0.029,4.729,158
income_statement_growht.growthIncomeTaxExpense,0.2903,0.122,2.372,0.019,0.029,5.628,191
key_metrics.freeCashFlowYield,-0.0158,0.007,-2.39,0.018,0.029,5.711,192
balance_sheet.goodwillAndIntangibleAssets,-1444000000,594000000,-2.432,0.016,0.028,5.914,206
balance_sheet.otherLiabilities,-389000000,197000000,-1.975,0.05,0.028,3.901,135
income_statement.eps,1.7333,0.702,2.47,0.014,0.028,6.103,211
income_statement_growht.growthNetIncomeRatio,0.1582,0.068,2.314,0.022,0.028,5.354,190
key_metrics.enterpriseValue,9572000000,4190000000,2.285,0.023,0.028,5.22,184
cash_flow.deferredIncomeTax,45170000,20300000,2.228,0.027,0.027,4.965,182
income_statement_growht.growthEPS,0.1938,0.085,2.275,0.024,0.027,5.173,190
ratio.returnOnAssets,0.035,0.015,2.366,0.019,0.027,5.597,204
ratio.shortTermCoverageRatios,5.3762,4.1,1.311,0.195,0.027,1.72,63
cash_flow.accountsPayables,68310000,32700000,2.086,0.039,0.026,4.353,164
income_statement.epsdiluted,1.6048,0.686,2.339,0.02,0.026,5.473,210
ratio.effectiveTaxRate,0.072,0.032,2.227,0.027,0.026,4.959,189
income_statement.incomeBeforeTax,615100000,269000000,2.29,0.023,0.025,5.246,207
financial_growth.fiveYDividendperShareGrowthPerShare,0.5284,0.273,1.934,0.055,0.024,3.74,157
ratio.operatingProfitMargin,0.0319,0.014,2.207,0.028,0.024,4.87,204
enterprise_value.marketCapitalization,7117000000,3160000000,2.251,0.025,0.024,5.067,208
key_metrics.capexToOperatingCashFlow,-0.9314,0.439,-2.122,0.035,0.023,4.504,193
ratio.capitalExpenditureCoverageRatio,-0.9314,0.439,-2.122,0.035,0.023,4.504,193
ratio.dividendPayoutRatio,-0.1312,0.073,-1.808,0.073,0.023,3.27,140
cash_flow.changeInWorkingCapital,226800000,109000000,2.081,0.039,0.022,4.329,195
key_metrics.tangibleAssetValue,1964000000,1000000000,1.961,0.051,0.022,3.847,175
financial_growth.tenYRevenueGrowthPerShare,0.5228,0.246,2.123,0.035,0.021,4.505,208
income_statement_growht.growthWeightedAverageShsOutDil,0.0138,0.006,2.149,0.033,0.021,4.62,214
key_metrics.debtToEquity,-0.7141,0.369,-1.933,0.055,0.021,3.736,178
ratio.debtEquityRatio,-0.7141,0.369,-1.933,0.055,0.021,3.736,178
ratio.priceEarningsToGrowthRatio,2.1917,1.073,2.043,0.042,0.021,4.174,192
cash_flow.netCashUsedProvidedByFinancingActivities,-405600000,320000000,-1.269,0.208,0.02,1.611,81
key_metrics.payoutRatio,-0.1241,0.073,-1.7,0.091,0.02,2.889,141
ratio.companyEquityMultiplier,-0.6989,0.373,-1.875,0.063,0.02,3.514,178
ratio.payoutRatio,-0.1241,0.073,-1.7,0.091,0.02,2.889,141
key_metrics.daysOfInventoryOnHand,-24.1405,13.422,-1.799,0.074,0.019,3.235,170
ratio.daysOfInventoryOutstanding,-24.1405,13.422,-1.799,0.074,0.019,3.235,170
balance_sheet.deferredRevenueNonCurrent,-123300000,119000000,-1.032,0.306,0.018,1.066,61
key_metrics.debtToAssets,-0.0951,0.049,-1.921,0.056,0.018,3.69,207
key_metrics.salesGeneralAndAdministrativeToRevenue,-0.0829,0.099,-0.838,0.407,0.018,0.703,40
ratio.pretaxProfitMargin,0.0269,0.014,1.923,0.056,0.018,3.699,202
ratio.ebitPerRevenue,0.0269,0.014,1.923,0.056,0.018,3.699,202
ratio.debtRatio,-0.0951,0.049,-1.921,0.056,0.018,3.69,207
balance_sheet.totalCurrentLiabilities,-1071000000,558000000,-1.921,0.056,0.017,3.689,213
income_statement_growht.growthDepreciationAndAmortization,0.0404,0.023,1.789,0.075,0.017,3.201,191
ratio.netProfitMargin,0.0233,0.013,1.851,0.066,0.017,3.425,201
financial_growth.freeCashFlowGrowth,0.2162,0.117,1.842,0.067,0.016,3.394,213
financial_growth.receivablesGrowth,0.0737,0.04,1.823,0.07,0.016,3.324,206
key_metrics.daysPayablesOutstanding,-10.1741,5.763,-1.765,0.079,0.016,3.117,196
ratio.daysOfPayablesOutstanding,-10.1741,5.763,-1.765,0.079,0.016,3.117,196
cash_flow.otherNonCashItems,-31720000,19900000,-1.592,0.113,0.015,2.534,171
cash_flow.acquisitionsNet,-94010000,145000000,-0.649,0.522,0.015,0.4213,29
financial_growth.ebitgrowth,0.071,0.042,1.699,0.091,0.015,2.888,194
financial_growth.operatingIncomeGrowth,0.071,0.042,1.699,0.091,0.015,2.888,194
income_statement.incomeTaxExpense,120800000,70000000,1.726,0.086,0.015,2.978,199
ratio.operatingCycle,-33.6701,19.106,-1.762,0.08,0.015,3.106,202
income_statement.generalAndAdministrativeExpenses,-763100000,443000000,-1.724,0.086,0.014,2.974,207
income_statement_growht.growthSellingAndMarketingExpenses,0.0824,0.11,0.751,0.457,0.014,0.5639,41
key_metrics.freeCashFlowPerShare,1.2748,0.774,1.647,0.101,0.014,2.711,191
ratio.freeCashFlowPerShare,1.2748,0.774,1.647,0.101,0.014,2.711,191
ratio.operatingCashFlowSalesRatio,0.0204,0.013,1.619,0.107,0.014,2.62,192
enterprise_value.enterpriseValue,6650000000,3870000000,1.718,0.087,0.014,2.952,205
financial_growth.tenYOperatingCFGrowthPerShare,0.6756,0.409,1.652,0.1,0.013,2.73,208
financial_growth.fiveYNetIncomeGrowthPerShare,0.4494,0.27,1.667,0.097,0.013,2.78,210
balance_sheet.commonStock,-10060000,6560000,-1.534,0.127,0.012,2.354,188
income_statement.netIncomeRatio,0.02,0.012,1.607,0.11,0.012,2.582,212
income_statement_growht.growthRevenue,0.0272,0.017,1.61,0.109,0.012,2.591,210
key_metrics.netIncomePerShare,1.0111,0.674,1.501,0.135,0.012,2.253,191
key_metrics.returnOnTangibleAssets,0.0304,0.019,1.57,0.118,0.012,2.464,208
key_metrics.payablesTurnover,2.4654,1.562,1.578,0.116,0.012,2.49,202
ratio.payablesTurnover,2.4654,1.562,1.578,0.116,0.012,2.49,202
balance_sheet.propertyPlantEquipmentNet,-869100000,605000000,-1.436,0.153,0.011,2.062,191
cash_flow.commonStockIssued,40560000,49900000,0.812,0.42,0.011,0.6597,63
cash_flow.freeCashFlow,257300000,178000000,1.447,0.149,0.011,2.094,196
financial_growth.revenueGrowth,0.0266,0.017,1.541,0.125,0.011,2.373,208
income_statement.researchAndDevelopmentExpenses,-220000000,418000000,-0.526,0.604,0.011,0.2763,28
income_statement.depreciationAndAmortization,-112200000,76100000,-1.475,0.142,0.011,2.175,205
income_statement.totalOtherIncomeExpensesNet,-22600000,18800000,-1.205,0.23,0.011,1.453,129
key_metrics.averageReceivables,-276900000,185000000,-1.494,0.137,0.011,2.233,196
key_metrics.daysSalesOutstanding,-8.559,5.723,-1.495,0.136,0.011,2.236,204
ratio.daysOfSalesOutstanding,-8.559,5.723,-1.495,0.136,0.011,2.236,204
ratio.assetTurnover,0.2299,0.153,1.501,0.135,0.011,2.254,211
cash_flow.netIncome,308300000,216000000,1.424,0.156,0.01,2.029,210
income_statement.otherExpenses,-16040000,14600000,-1.098,0.275,0.01,1.205,124
income_statement.operatingIncome,347600000,245000000,1.418,0.158,0.01,2.009,203
income_statement.operatingIncomeRatio,0.0208,0.014,1.486,0.139,0.01,2.209,216
income_statement.netIncome,307400000,214000000,1.434,0.153,0.01,2.057,207
cash_flow.inventory,-46020000,36700000,-1.253,0.212,0.009,1.569,177
financial_growth.dividendsperShareGrowth,0.0387,0.033,1.183,0.239,0.009,1.399,152
financial_growth.debtGrowth,-0.0504,0.039,-1.291,0.198,0.009,1.666,195
income_statement.grossProfitRatio,-0.0514,0.036,-1.429,0.155,0.009,2.041,222
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.0252,0.018,1.363,0.174,0.009,1.858,200
income_statement_growht.growthEBITDA,0.0515,0.039,1.319,0.189,0.009,1.739,190
balance_sheet.shortTermInvestments,239500000,301000000,0.796,0.428,0.008,0.6335,80
balance_sheet.otherCurrentLiabilities,160800000,145000000,1.112,0.268,0.008,1.237,147
financial_growth.tenYNetIncomeGrowthPerShare,0.8834,0.717,1.233,0.219,0.008,1.52,198
financial_growth.assetGrowth,0.0269,0.022,1.246,0.214,0.008,1.552,204
income_statement.incomeBeforeTaxRatio,0.0172,0.014,1.27,0.205,0.008,1.614,211
key_metrics.receivablesTurnover,8.4535,6.976,1.212,0.227,0.008,1.468,188
ratio.receivablesTurnover,8.4535,6.976,1.212,0.227,0.008,1.468,188
balance_sheet.netReceivables,-232000000,186000000,-1.249,0.213,0.007,1.559,210
cash_flow.dividendsPaid,96790000,97100000,0.997,0.321,0.007,0.9931,150
financial_growth.weightedAverageSharesDilutedGrowth,0.0076,0.006,1.237,0.217,0.007,1.531,219
income_statement.ebitdaratio,0.0209,0.017,1.236,0.218,0.007,1.527,215
income_statement.weightedAverageShsOut,-58620000,48600000,-1.207,0.229,0.007,1.457,212
income_statement_growht.growthCostOfRevenue,0.0211,0.017,1.215,0.226,0.007,1.477,202
income_statement_growht.growthTotalOtherIncomeExpensesNet,0.3246,0.325,1,0.319,0.007,1,142
income_statement_growht.growthWeightedAverageShsOut,0.008,0.006,1.238,0.217,0.007,1.533,212
key_metrics.tangibleBookValuePerShare,-10.5696,8.931,-1.184,0.238,0.007,1.401,196
enterprise_value.numberOfShares,-58620000,48600000,-1.207,0.229,0.007,1.457,212
S&P500_INFO.CIK,140800,108000,1.303,0.194,0.007,1.699,238
financial_growth.weightedAverageSharesGrowth,0.0069,0.006,1.118,0.265,0.006,1.249,214
income_statement.costAndExpenses,-1831000000,1670000000,-1.096,0.274,0.006,1.201,209
income_statement.weightedAverageShsOutDil,-56730000,48900000,-1.161,0.247,0.006,1.348,212
key_metrics.netDebtToEBITDA,-0.4639,0.409,-1.136,0.257,0.006,1.29,204
ratio.totalDebtToCapitalization,-0.074,0.113,-0.655,0.514,0.006,0.429,77
ratio.cashFlowToDebtRatio,0.0664,0.106,0.626,0.534,0.006,0.3914,70
ratio.cashFlowCoverageRatios,0.0664,0.106,0.626,0.534,0.006,0.3914,70
balance_sheet.totalNonCurrentAssets,-1885000000,1840000000,-1.024,0.307,0.005,1.049,219
balance_sheet.totalLiabilities,-1693000000,1640000000,-1.029,0.304,0.005,1.06,212
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,356200000,365000000,0.975,0.331,0.005,0.9513,201
cash_flow.otherWorkingCapital,-250800000,272000000,-0.922,0.358,0.005,0.8495,188
financial_growth.threeYRevenueGrowthPerShare,0.0563,0.056,1.001,0.318,0.005,1.002,217
financial_growth.inventoryGrowth,0.0226,0.022,1.006,0.316,0.005,1.013,190
income_statement_growht.growthInterestExpense,-0.048,0.055,-0.874,0.384,0.005,0.7634,170
key_metrics.stockBasedCompensationToRevenue,0.001,0.001,1.006,0.315,0.005,1.013,199
balance_sheet.goodwill,-325500000,376000000,-0.865,0.388,0.004,0.7476,194
balance_sheet.totalAssets,-2211000000,2490000000,-0.887,0.376,0.004,0.7867,222
balance_sheet.totalNonCurrentLiabilities,-1069000000,1190000000,-0.9,0.369,0.004,0.8106,217
cash_flow.depreciationAndAmortization,-76710000,80400000,-0.954,0.341,0.004,0.911,207
cash_flow.accountsReceivables,-23000000,31900000,-0.721,0.472,0.004,0.5198,131
cash_flow.netCashProvidedByOperatingActivities,252900000,275000000,0.92,0.359,0.004,0.8458,200
cash_flow.netChangeInCash,63590000,72600000,0.875,0.382,0.004,0.7665,187
cash_flow.operatingCashFlow,252900000,275000000,0.92,0.359,0.004,0.8458,200
income_statement_growht.growthCostAndExpenses,0.0156,0.018,0.879,0.38,0.004,0.7735,202
key_metrics.grahamNumber,5.2514,6.408,0.82,0.414,0.004,0.6716,193
key_metrics.netCurrentAssetValue,1445000000,1620000000,0.893,0.373,0.004,0.7967,197
key_metrics.inventoryTurnover,-0.722,0.889,-0.812,0.418,0.004,0.6598,157
ratio.longTermDebtToCapitalization,-0.0633,0.073,-0.872,0.384,0.004,0.7611,194
ratio.inventoryTurnover,-0.722,0.889,-0.812,0.418,0.004,0.6598,157
balance_sheet.inventory,372100000,536000000,0.694,0.489,0.003,0.4817,184
balance_sheet.deferredRevenue,-135500000,199000000,-0.679,0.498,0.003,0.4614,140
balance_sheet.totalLiabilitiesAndStockholdersEquity,-2079000000,2420000000,-0.859,0.391,0.003,0.7386,222
balance_sheet.netDebt,-829500000,1030000000,-0.804,0.422,0.003,0.6471,220
cash_flow.netCashUsedForInvestingActivites,-93650000,184000000,-0.51,0.611,0.003,0.26,86
income_statement.grossProfit,-459400000,632000000,-0.727,0.468,0.003,0.5283,203
key_metrics.interestDebtPerShare,-2.779,3.454,-0.804,0.422,0.003,0.6472,187
key_metrics.incomeQuality,-0.1149,0.15,-0.767,0.444,0.003,0.5882,181
key_metrics.capexToRevenue,-3.4446,4.502,-0.765,0.445,0.003,0.5854,192
key_metrics.workingCapital,-248300000,337000000,-0.737,0.462,0.003,0.5426,176
ratio.dividendPaidAndCapexCoverageRatio,2.0001,3.194,0.626,0.532,0.003,0.3921,131
balance_sheet.cashAndShortTermInvestments,196800000,290000000,0.68,0.497,0.002,0.462,218
balance_sheet.intangibleAssets,-206200000,327000000,-0.631,0.529,0.002,0.3982,168
balance_sheet.deferredTaxLiabilitiesNonCurrent,-59320000,105000000,-0.565,0.573,0.002,0.3197,143
balance_sheet.totalDebt,-748500000,1060000000,-0.708,0.48,0.002,0.5008,208
cash_flow.investmentsInPropertyPlantAndEquipment,81740000,116000000,0.704,0.482,0.002,0.4955,203
cash_flow.cashAtBeginningOfPeriod,-108600000,189000000,-0.576,0.565,0.002,0.3314,213
cash_flow.capitalExpenditure,81740000,116000000,0.704,0.482,0.002,0.4955,203
income_statement.ebitda,210700000,331000000,0.636,0.525,0.002,0.4048,207
key_metrics.cashPerShare,-0.4729,0.747,-0.633,0.527,0.002,0.401,188
key_metrics.bookValuePerShare,-2.3425,3.763,-0.623,0.534,0.002,0.3875,184
key_metrics.shareholdersEquityPerShare,-2.3425,3.763,-0.623,0.534,0.002,0.3875,184
key_metrics.capexToDepreciation,0.056,0.08,0.696,0.487,0.002,0.4844,204
key_metrics.grahamNetNet,4.2001,6.508,0.645,0.519,0.002,0.4165,198
key_metrics.averageInventory,304400000,555000000,0.548,0.584,0.002,0.3008,169
key_metrics.roe,0.0255,0.046,0.551,0.582,0.002,0.3036,183
ratio.quickRatio,0.084,0.135,0.623,0.534,0.002,0.3875,208
ratio.grossProfitMargin,-0.0233,0.035,-0.658,0.512,0.002,0.4325,205
ratio.returnOnEquity,0.0255,0.046,0.551,0.582,0.002,0.3036,183
S&P500_INFO.Column1,-20.8879,31.446,-0.664,0.507,0.002,0.4412,238
balance_sheet.otherCurrentAssets,24930000,67300000,0.37,0.712,0.001,0.1372,131
balance_sheet.taxAssets,-26480000,76300000,-0.347,0.729,0.001,0.1205,129
balance_sheet.accountPayables,-147900000,281000000,-0.526,0.6,0.001,0.2762,211
balance_sheet.retainedEarnings,321500000,833000000,0.386,0.7,0.001,0.1488,204
cash_flow.stockBasedCompensation,-3930000,9230000,-0.426,0.671,0.001,0.1812,198
cash_flow.purchasesOfInvestments,88210000,321000000,0.275,0.784,0.001,0.0756,127
cash_flow.salesMaturitiesOfInvestments,-107700000,454000000,-0.237,0.813,0.001,0.05632,74
cash_flow.otherInvestingActivites,-30350000,88300000,-0.344,0.732,0.001,0.1181,143
cash_flow.cashAtEndOfPeriod,126100000,241000000,0.524,0.601,0.001,0.2743,213
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.0679,0.159,0.428,0.669,0.001,0.1833,208
financial_growth.threeYShareholdersEquityGrowthPerShare,0.04,0.101,0.397,0.691,0.001,0.158,205
financial_growth.tenYDividendperShareGrowthPerShare,0.2596,0.609,0.427,0.67,0.001,0.182,125
income_statement_growht.growthOtherExpenses,0.1323,0.308,0.43,0.668,0.001,0.185,141
key_metrics.revenuePerShare,3.7535,10.558,0.356,0.723,0.001,0.1264,197
key_metrics.currentRatio,0.0883,0.186,0.475,0.635,0.001,0.2254,197
key_metrics.averagePayables,-171800000,321000000,-0.535,0.594,0.001,0.2857,194
ratio.currentRatio,0.0883,0.186,0.475,0.635,0.001,0.2254,197
ratio.fixedAssetTurnover,0.2699,0.861,0.313,0.754,0.001,0.09825,151
ratio.cashPerShare,-0.4559,0.897,-0.508,0.612,0.001,0.2581,185
enterprise_value.addTotalDebt,-411800000,1070000000,-0.384,0.701,0.001,0.1473,204
balance_sheet.cashAndCashEquivalents,50630000,250000000,0.202,0.84,0,0.04094,221
balance_sheet.totalCurrentAssets,-56750000,812000000,-0.07,0.944,0,0.004883,216
balance_sheet.otherNonCurrentAssets,-10960000,73500000,-0.149,0.882,0,0.02219,185
balance_sheet.otherAssets,9334000,151000000,0.062,0.951,0,0.003809,128
balance_sheet.longTermDebt,-84330000,1030000000,-0.082,0.935,0,0.006763,205
balance_sheet.othertotalStockholdersEquity,27670000,148000000,0.187,0.852,0,0.03504,73
balance_sheet.totalStockholdersEquity,19360000,790000000,0.025,0.98,0,0.0006007,207
cash_flow.debtRepayment,-19460000,290000000,-0.067,0.947,0,0.004514,182
cash_flow.commonStockRepurchased,-24360000,155000000,-0.157,0.875,0,0.02477,185
financial_growth.tenYShareholdersEquityGrowthPerShare,0.0937,0.339,0.276,0.782,0,0.07645,208
income_statement.revenue,-246600000,1900000000,-0.13,0.897,0,0.01688,210
income_statement.costOfRevenue,-360300000,1420000000,-0.254,0.799,0,0.06471,206
income_statement.interestExpense,-14430000,48400000,-0.298,0.766,0,0.08899,193
income_statement_growht.growthOperatingExpenses,0.0052,0.025,0.213,0.831,0,0.0455,197
key_metrics.operatingCashFlowPerShare,-0.1411,1.233,-0.114,0.909,0,0.01309,197
key_metrics.capexPerShare,0.1608,0.634,0.254,0.8,0,0.06435,196
ratio.cashRatio,0.0282,0.091,0.309,0.758,0,0.09558,207
ratio.operatingCashFlowPerShare,-0.1411,1.233,-0.114,0.909,0,0.01309,197
enterprise_value.minusCashAndCashEquivalents,50630000,250000000,0.202,0.84,0,0.04094,221
