dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.netCurrentAssetValue,-3043000000,3100000000,-0.983,0.331,0.02,0.9657,50
income_statement.interestExpense,131800000,91600000,1.439,0.153,0.019,2.071,108
income_statement_growht.growthIncomeTaxExpense,0.6988,0.571,1.224,0.225,0.019,1.499,79
ratio.operatingCycle,-31.0244,25.784,-1.203,0.233,0.019,1.448,76
enterprise_value.addTotalDebt,3086000000,2100000000,1.472,0.144,0.019,2.166,111
balance_sheet.commonStock,1838000,1430000,1.288,0.201,0.018,1.659,93
cash_flow.netCashProvidedByOperatingActivities,392900000,291000000,1.351,0.18,0.017,1.826,107
cash_flow.cashAtEndOfPeriod,222700000,169000000,1.314,0.192,0.017,1.727,104
cash_flow.operatingCashFlow,392900000,291000000,1.351,0.18,0.017,1.826,107
financial_growth.dividendsperShareGrowth,0.042,0.033,1.269,0.208,0.017,1.61,93
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.2703,0.2,1.351,0.18,0.017,1.826,109
ratio.freeCashFlowOperatingCashFlowRatio,0.3959,0.299,1.322,0.189,0.017,1.748,104
balance_sheet.propertyPlantEquipmentNet,3553000000,3760000000,0.944,0.349,0.016,0.8918,57
cash_flow.changeInWorkingCapital,-130100000,107000000,-1.219,0.226,0.016,1.486,93
financial_growth.threeYShareholdersEquityGrowthPerShare,0.2199,0.164,1.338,0.184,0.016,1.791,112
income_statement.revenue,1458000000,1050000000,1.383,0.169,0.016,1.912,116
income_statement.generalAndAdministrativeExpenses,77690000,60400000,1.287,0.201,0.016,1.657,102
income_statement.operatingExpenses,392300000,298000000,1.314,0.191,0.016,1.728,110
key_metrics.capexToOperatingCashFlow,-1.1728,1.02,-1.149,0.254,0.016,1.321,83
ratio.capitalExpenditureCoverageRatio,-1.1728,1.02,-1.149,0.254,0.016,1.321,83
enterprise_value.stockPrice,45.9397,33.777,1.36,0.176,0.016,1.85,116
enterprise_value.marketCapitalization,7378000000,5630000000,1.31,0.193,0.016,1.717,109
balance_sheet.otherNonCurrentAssets,136300000,129000000,1.057,0.294,0.015,1.117,77
income_statement.netIncome,341000000,258000000,1.321,0.189,0.015,1.745,114
cash_flow.stockBasedCompensation,12050000,11100000,1.089,0.279,0.014,1.186,85
financial_growth.tenYRevenueGrowthPerShare,0.3963,0.325,1.22,0.225,0.014,1.488,109
financial_growth.fiveYNetIncomeGrowthPerShare,0.6502,0.527,1.233,0.22,0.014,1.52,107
financial_growth.fiveYDividendperShareGrowthPerShare,0.3208,0.282,1.138,0.258,0.014,1.295,92
income_statement.incomeBeforeTax,288800000,236000000,1.221,0.225,0.014,1.492,109
key_metrics.pbRatio,0.962,0.85,1.132,0.261,0.014,1.281,95
key_metrics.ptbRatio,0.962,0.85,1.132,0.261,0.014,1.281,95
key_metrics.daysSalesOutstanding,-30.3525,28.031,-1.083,0.282,0.014,1.173,83
ratio.daysOfSalesOutstanding,-30.3525,28.031,-1.083,0.282,0.014,1.173,83
ratio.priceBookValueRatio,0.962,0.85,1.132,0.261,0.014,1.281,95
ratio.priceToBookRatio,0.962,0.85,1.132,0.261,0.014,1.281,95
ratio.priceFairValue,0.962,0.85,1.132,0.261,0.014,1.281,95
balance_sheet.otherCurrentLiabilities,15780000,26600000,0.594,0.558,0.013,0.3527,28
income_statement_growht.growthNetIncome,0.3067,0.263,1.164,0.247,0.012,1.355,110
ratio.priceEarningsToGrowthRatio,8.7803,8.238,1.066,0.289,0.012,1.136,95
cash_flow.accountsReceivables,13420000,18800000,0.712,0.48,0.011,0.5076,48
financial_growth.netIncomeGrowth,0.2961,0.265,1.117,0.266,0.011,1.249,110
income_statement_growht.growthNetIncomeRatio,0.2458,0.232,1.061,0.291,0.011,1.126,107
key_metrics.tangibleBookValuePerShare,-31.5258,28.914,-1.09,0.278,0.011,1.189,105
key_metrics.pfcfRatio,12.2492,13.446,0.911,0.365,0.011,0.8298,78
ratio.effectiveTaxRate,-0.033,0.037,-0.888,0.377,0.011,0.7889,72
ratio.fixedAssetTurnover,0.1309,0.151,0.869,0.388,0.011,0.7547,70
ratio.priceToFreeCashFlowsRatio,12.2492,13.446,0.911,0.365,0.011,0.8298,78
cash_flow.freeCashFlow,293600000,277000000,1.061,0.291,0.01,1.125,109
financial_growth.assetGrowth,0.0453,0.044,1.035,0.303,0.01,1.071,106
income_statement_growht.growthEPS,0.2041,0.205,0.998,0.321,0.01,0.9955,104
income_statement_growht.growthEPSDiluted,0.2027,0.204,0.992,0.324,0.01,0.9837,104
financial_growth.threeYNetIncomeGrowthPerShare,0.3568,0.36,0.99,0.324,0.009,0.9795,112
key_metrics.capexPerShare,1.5938,1.834,0.869,0.387,0.009,0.7551,84
income_statement.incomeBeforeTaxRatio,0.0894,0.093,0.959,0.339,0.008,0.9205,116
key_metrics.marketCap,6301000000,6960000000,0.905,0.368,0.008,0.8192,99
key_metrics.returnOnTangibleAssets,0.0116,0.013,0.903,0.369,0.008,0.8154,98
balance_sheet.netReceivables,-193700000,248000000,-0.78,0.438,0.007,0.6079,91
financial_growth.receivablesGrowth,-0.0895,0.12,-0.744,0.459,0.007,0.5533,76
income_statement.otherExpenses,8878000,16000000,0.554,0.583,0.007,0.3065,47
income_statement_growht.growthOperatingIncomeRatio,0.0839,0.1,0.835,0.406,0.007,0.6971,102
key_metrics.bookValuePerShare,-13.5959,16.525,-0.823,0.413,0.007,0.6769,105
key_metrics.shareholdersEquityPerShare,-13.5959,16.525,-0.823,0.413,0.007,0.6769,105
ratio.cashConversionCycle,-34.415,48.18,-0.714,0.477,0.007,0.5102,70
balance_sheet.totalAssets,3663000000,4380000000,0.836,0.405,0.006,0.6988,115
balance_sheet.deferredTaxLiabilitiesNonCurrent,43550000,123000000,0.354,0.727,0.006,0.1253,24
balance_sheet.retainedEarnings,-829500000,1080000000,-0.767,0.445,0.006,0.5876,103
financial_growth.weightedAverageSharesGrowth,-0.01,0.013,-0.786,0.434,0.006,0.6171,101
income_statement.weightedAverageShsOut,70790000,89200000,0.793,0.429,0.006,0.6294,115
income_statement.weightedAverageShsOutDil,81680000,100000000,0.816,0.416,0.006,0.6664,120
income_statement_growht.growthIncomeBeforeTax,0.1809,0.225,0.805,0.423,0.006,0.6475,104
income_statement_growht.growthWeightedAverageShsOut,0.0118,0.015,0.769,0.444,0.006,0.5914,104
key_metrics.currentRatio,0.1775,0.31,0.572,0.569,0.006,0.3277,55
ratio.currentRatio,0.1775,0.31,0.572,0.569,0.006,0.3277,55
ratio.longTermDebtToCapitalization,-0.0743,0.099,-0.748,0.456,0.006,0.5589,103
enterprise_value.numberOfShares,70790000,89200000,0.793,0.429,0.006,0.6294,115
cash_flow.otherFinancingActivites,-15900000,24100000,-0.66,0.511,0.005,0.435,86
income_statement.grossProfitRatio,-0.0575,0.082,-0.698,0.487,0.005,0.4877,99
key_metrics.incomeQuality,-0.4065,0.57,-0.714,0.477,0.005,0.5095,97
balance_sheet.totalLiabilitiesAndStockholdersEquity,3109000000,4470000000,0.695,0.489,0.004,0.4829,115
cash_flow.commonStockIssued,152000000,325000000,0.468,0.641,0.004,0.219,63
income_statement_growht.growthOperatingExpenses,0.0372,0.063,0.591,0.556,0.004,0.3489,101
key_metrics.freeCashFlowPerShare,1.3852,2.134,0.649,0.518,0.004,0.4213,104
key_metrics.averagePayables,-41560000,111000000,-0.374,0.711,0.004,0.1399,39
ratio.freeCashFlowPerShare,1.3852,2.134,0.649,0.518,0.004,0.4213,104
balance_sheet.longTermInvestments,136400000,321000000,0.425,0.672,0.003,0.1809,74
balance_sheet.accountPayables,42520000,85900000,0.495,0.622,0.003,0.2451,80
balance_sheet.deferredRevenue,35460000,155000000,0.23,0.821,0.003,0.05268,23
cash_flow.purchasesOfInvestments,-36920000,102000000,-0.361,0.72,0.003,0.1302,43
cash_flow.otherInvestingActivites,12760000,28500000,0.447,0.656,0.003,0.1999,74
income_statement.incomeTaxExpense,8894000,17100000,0.52,0.605,0.003,0.2703,79
income_statement_growht.growthCostAndExpenses,0.0296,0.049,0.601,0.549,0.003,0.3613,106
key_metrics.operatingCashFlowPerShare,-1.0897,1.939,-0.562,0.575,0.003,0.3159,102
key_metrics.freeCashFlowYield,-0.01,0.019,-0.521,0.604,0.003,0.2713,102
key_metrics.capexToRevenue,-1.5367,3.096,-0.496,0.621,0.003,0.2463,80
key_metrics.stockBasedCompensationToRevenue,0.0023,0.004,0.514,0.609,0.003,0.2637,91
key_metrics.averageReceivables,-116500000,230000000,-0.506,0.614,0.003,0.2561,79
ratio.operatingProfitMargin,-0.043,0.075,-0.571,0.569,0.003,0.326,106
ratio.assetTurnover,-0.0173,0.031,-0.557,0.579,0.003,0.3107,94
ratio.operatingCashFlowPerShare,-1.0897,1.939,-0.562,0.575,0.003,0.3159,102
balance_sheet.totalStockholdersEquity,959400000,1890000000,0.506,0.614,0.002,0.2564,115
cash_flow.otherWorkingCapital,-30510000,95400000,-0.32,0.75,0.002,0.1022,69
cash_flow.netChangeInCash,29460000,68200000,0.432,0.667,0.002,0.1866,92
financial_growth.tenYOperatingCFGrowthPerShare,0.1789,0.389,0.46,0.647,0.002,0.2114,104
income_statement_growht.growthInterestExpense,0.0371,0.092,0.403,0.688,0.002,0.1625,97
income_statement_growht.growthOperatingIncome,0.042,0.093,0.452,0.652,0.002,0.204,109
key_metrics.debtToAssets,-0.041,0.099,-0.416,0.678,0.002,0.1732,103
key_metrics.roic,0.0056,0.014,0.397,0.692,0.002,0.1575,97
ratio.pretaxProfitMargin,0.0457,0.097,0.469,0.64,0.002,0.22,105
ratio.returnOnCapitalEmployed,0.0056,0.014,0.397,0.692,0.002,0.1575,97
ratio.netIncomePerEBT,-0.0189,0.048,-0.392,0.696,0.002,0.1534,91
ratio.ebitPerRevenue,0.0457,0.097,0.469,0.64,0.002,0.22,105
ratio.debtRatio,-0.041,0.099,-0.416,0.678,0.002,0.1732,103
ratio.operatingCashFlowSalesRatio,0.0417,0.086,0.485,0.629,0.002,0.2351,104
balance_sheet.totalCurrentAssets,149800000,438000000,0.342,0.733,0.001,0.1171,112
balance_sheet.otherNonCurrentLiabilities,-41440000,138000000,-0.3,0.765,0.001,0.09028,87
cash_flow.depreciationAndAmortization,51330000,175000000,0.293,0.77,0.001,0.08592,109
cash_flow.otherNonCashItems,-7485000,29800000,-0.251,0.803,0.001,0.06291,87
cash_flow.cashAtBeginningOfPeriod,48040000,167000000,0.288,0.774,0.001,0.08315,107
financial_growth.tenYNetIncomeGrowthPerShare,0.2957,0.863,0.343,0.733,0.001,0.1174,100
income_statement.depreciationAndAmortization,77490000,198000000,0.391,0.697,0.001,0.1529,111
income_statement.ebitdaratio,-0.0217,0.087,-0.251,0.802,0.001,0.06295,107
income_statement_growht.growthTotalOtherIncomeExpensesNet,-0.1461,0.513,-0.285,0.777,0.001,0.08117,76
income_statement_growht.growthWeightedAverageShsOutDil,0.0032,0.014,0.231,0.818,0.001,0.05341,101
key_metrics.revenuePerShare,-1.0678,3.294,-0.324,0.746,0.001,0.1051,100
key_metrics.netIncomePerShare,-0.3742,1.085,-0.345,0.731,0.001,0.1189,98
key_metrics.interestDebtPerShare,-4.8277,15.12,-0.319,0.75,0.001,0.1019,103
key_metrics.grahamNetNet,-5.9257,16.845,-0.352,0.726,0.001,0.1237,103
key_metrics.payablesTurnover,1.5618,6.767,0.231,0.818,0.001,0.05327,50
ratio.cashRatio,-0.0283,0.09,-0.314,0.754,0.001,0.09891,96
ratio.netProfitMargin,0.0236,0.096,0.246,0.806,0.001,0.06068,105
ratio.payablesTurnover,1.5618,6.767,0.231,0.818,0.001,0.05327,50
balance_sheet.totalCurrentLiabilities,-15300000,446000000,-0.034,0.973,0,0.001178,107
cash_flow.deferredIncomeTax,838800,23900000,0.035,0.972,0,0.001229,36
cash_flow.salesMaturitiesOfInvestments,-1832000,57500000,-0.032,0.975,0,0.001015,38
financial_growth.weightedAverageSharesDilutedGrowth,0.0011,0.013,0.085,0.932,0,0.007234,101
financial_growth.debtGrowth,-0.0022,0.066,-0.034,0.973,0,0.001166,107
income_statement.operatingIncome,40440000,232000000,0.174,0.862,0,0.03037,110
income_statement.operatingIncomeRatio,0.0093,0.093,0.1,0.921,0,0.01,116
income_statement.totalOtherIncomeExpensesNet,13550000,80000000,0.169,0.866,0,0.02867,106
income_statement.netIncomeRatio,-0.0065,0.087,-0.075,0.941,0,0.005593,115
income_statement.eps,-0.0563,1.018,-0.055,0.956,0,0.003057,116
income_statement.epsdiluted,-0.0754,1.016,-0.074,0.941,0,0.005497,116
income_statement_growht.growthGrossProfitRatio,0.0009,0.01,0.094,0.926,0,0.008787,94
income_statement_growht.growthEBITDARatio,0.0054,0.08,0.067,0.947,0,0.004495,104
key_metrics.cashPerShare,-0.047,0.649,-0.072,0.942,0,0.005248,99
key_metrics.debtToEquity,0.0205,0.54,0.038,0.97,0,0.001436,95
key_metrics.netDebtToEBITDA,-0.2333,1.315,-0.177,0.86,0,0.03148,95
key_metrics.interestCoverage,-0.0169,1.277,-0.013,0.989,0,0.0001752,93
key_metrics.grahamNumber,-1.9261,12.179,-0.158,0.875,0,0.02501,93
key_metrics.roe,-0.0039,0.04,-0.099,0.921,0,0.009781,99
ratio.quickRatio,0.0293,0.23,0.127,0.899,0,0.01616,103
ratio.grossProfitMargin,-0.0032,0.053,-0.061,0.952,0,0.003696,93
ratio.returnOnAssets,0.0017,0.012,0.138,0.89,0,0.01914,100
ratio.returnOnEquity,-0.0039,0.04,-0.099,0.921,0,0.009781,99
ratio.debtEquityRatio,0.0205,0.54,0.038,0.97,0,0.001436,95
ratio.interestCoverage,-0.0169,1.277,-0.013,0.989,0,0.0001752,93
ratio.companyEquityMultiplier,0.0723,0.534,0.135,0.893,0,0.01833,95
ratio.cashPerShare,-0.087,0.645,-0.135,0.893,0,0.01815,99
