dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
ratio.operatingCashFlowSalesRatio,0.0403,0.093,0.434,0.665,0.002,0.1888,90
enterprise_value.addTotalDebt,1534000000,3530000000,0.435,0.665,0.002,0.1891,86
balance_sheet.accountPayables,267600000,1060000000,0.254,0.8,0.001,0.06428,84
balance_sheet.commonStock,-44790000,230000000,-0.194,0.846,0.001,0.03779,76
balance_sheet.netDebt,1213000000,3500000000,0.347,0.73,0.001,0.1201,87
cash_flow.changeInWorkingCapital,51650000,183000000,0.282,0.778,0.001,0.0798,79
financial_growth.tenYRevenueGrowthPerShare,0.106,0.321,0.33,0.742,0.001,0.1092,84
financial_growth.tenYOperatingCFGrowthPerShare,0.1164,0.439,0.265,0.792,0.001,0.07028,82
financial_growth.sgaexpensesGrowth,-0.0117,0.058,-0.202,0.84,0.001,0.0409,75
income_statement.grossProfitRatio,-0.0257,0.074,-0.348,0.729,0.001,0.121,90
income_statement.generalAndAdministrativeExpenses,-104000000,325000000,-0.32,0.75,0.001,0.1025,79
key_metrics.revenuePerShare,2.4724,11.13,0.222,0.825,0.001,0.04935,76
key_metrics.debtToAssets,0.0123,0.054,0.227,0.821,0.001,0.05162,88
key_metrics.dividendYield,-0.0027,0.009,-0.292,0.771,0.001,0.08527,82
key_metrics.capexToDepreciation,0.0538,0.246,0.219,0.828,0.001,0.0478,76
key_metrics.daysPayablesOutstanding,-4.4471,21.037,-0.211,0.833,0.001,0.04469,89
key_metrics.payablesTurnover,0.4012,1.613,0.249,0.804,0.001,0.06187,86
ratio.daysOfPayablesOutstanding,-4.4471,21.037,-0.211,0.833,0.001,0.04469,89
ratio.debtRatio,0.0123,0.054,0.227,0.821,0.001,0.05162,88
ratio.payablesTurnover,0.4012,1.613,0.249,0.804,0.001,0.06187,86
ratio.dividendYield,-0.0027,0.009,-0.292,0.771,0.001,0.08527,82
S&P500_INFO.CIK,92050,264000,0.349,0.728,0.001,0.1215,94
balance_sheet.cashAndCashEquivalents,147100000,722000000,0.204,0.839,0,0.04149,88
balance_sheet.shortTermDebt,65300000,420000000,0.155,0.877,0,0.02415,57
balance_sheet.otherNonCurrentLiabilities,6416000,615000000,0.01,0.992,0,0.0001087,64
balance_sheet.retainedEarnings,755700000,5190000000,0.146,0.885,0,0.02117,82
balance_sheet.totalStockholdersEquity,-791600000,4420000000,-0.179,0.858,0,0.03209,86
cash_flow.netCashProvidedByOperatingActivities,-37370000,963000000,-0.039,0.969,0,0.001506,84
cash_flow.debtRepayment,-50510000,978000000,-0.052,0.959,0,0.002667,79
cash_flow.commonStockRepurchased,-30440000,387000000,-0.079,0.938,0,0.006197,63
cash_flow.cashAtEndOfPeriod,89040000,711000000,0.125,0.901,0,0.01569,87
cash_flow.operatingCashFlow,-37370000,963000000,-0.039,0.969,0,0.001506,84
cash_flow.freeCashFlow,-72040000,646000000,-0.112,0.911,0,0.01245,84
financial_growth.grossProfitGrowth,0.0366,0.29,0.126,0.9,0,0.01588,83
financial_growth.dividendsperShareGrowth,-0.0015,0.052,-0.029,0.977,0,0.0008573,63
financial_growth.freeCashFlowGrowth,0.0122,0.482,0.025,0.98,0,0.0006432,82
income_statement.grossProfit,141000000,1500000000,0.094,0.925,0,0.008817,85
income_statement.ebitdaratio,-0.0056,0.098,-0.057,0.954,0,0.003283,93
income_statement_growht.growthRevenue,-0.001,0.108,-0.009,0.993,0,8.64E-05,87
income_statement_growht.growthOperatingIncomeRatio,-0.0187,0.491,-0.038,0.97,0,0.001452,79
income_statement_growht.growthTotalOtherIncomeExpensesNet,-0.0591,0.574,-0.103,0.918,0,0.01061,61
income_statement_growht.growthIncomeTaxExpense,-0.1033,0.541,-0.191,0.849,0,0.03647,81
key_metrics.freeCashFlowYield,0.0004,0.022,0.018,0.986,0,0.0003209,83
key_metrics.netDebtToEBITDA,-0.0599,0.706,-0.085,0.933,0,0.007204,75
key_metrics.averagePayables,121500000,1220000000,0.1,0.921,0,0.009945,82
key_metrics.averageInventory,-144200000,971000000,-0.148,0.882,0,0.02204,81
ratio.cashRatio,0.0261,0.134,0.195,0.846,0,0.03794,85
ratio.netIncomePerEBT,0.0143,0.155,0.092,0.927,0,0.008528,75
ratio.longTermDebtToCapitalization,0.0069,0.067,0.103,0.918,0,0.01055,89
ratio.cashPerShare,0.2359,1.578,0.15,0.882,0,0.02235,79
ratio.freeCashFlowOperatingCashFlowRatio,-0.0164,0.156,-0.105,0.916,0,0.01109,81
enterprise_value.minusCashAndCashEquivalents,147100000,722000000,0.204,0.839,0,0.04149,88
S&P500_INFO.Column1,8.1308,55.687,0.146,0.884,0,0.02132,94
