dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
income_statement_growht.growthNetIncome,0.4988,0.358,1.392,0.168,0.024,1.937,82
balance_sheet.longTermDebt,9361000000,6380000000,1.466,0.146,0.023,2.15,92
cash_flow.salesMaturitiesOfInvestments,-1429000000,1160000000,-1.232,0.222,0.022,1.518,70
ratio.freeCashFlowOperatingCashFlowRatio,0.3154,0.229,1.374,0.173,0.022,1.889,85
balance_sheet.totalDebt,9973000000,7250000000,1.375,0.172,0.021,1.891,92
balance_sheet.netDebt,9903000000,7120000000,1.39,0.168,0.021,1.933,92
enterprise_value.addTotalDebt,9990000000,7300000000,1.369,0.175,0.02,1.873,92
balance_sheet.deferredRevenue,156900000,173000000,0.909,0.369,0.019,0.8258,45
financial_growth.tenYNetIncomeGrowthPerShare,0.8879,0.703,1.262,0.21,0.019,1.593,84
income_statement_growht.growthEPSDiluted,-0.2064,0.168,-1.225,0.224,0.019,1.501,80
cash_flow.otherNonCashItems,262200000,209000000,1.257,0.212,0.018,1.581,86
key_metrics.returnOnTangibleAssets,0.0098,0.008,1.213,0.229,0.018,1.471,81
key_metrics.roe,0.0314,0.026,1.186,0.239,0.018,1.407,79
ratio.returnOnEquity,0.0314,0.026,1.186,0.239,0.018,1.407,79
financial_growth.fiveYRevenueGrowthPerShare,-0.1497,0.125,-1.196,0.235,0.017,1.43,87
income_statement_growht.growthEPS,-0.1979,0.168,-1.179,0.242,0.017,1.389,80
cash_flow.changeInWorkingCapital,423400000,359000000,1.18,0.241,0.016,1.392,90
financial_growth.fiveYDividendperShareGrowthPerShare,0.237,0.205,1.157,0.251,0.016,1.338,85
key_metrics.freeCashFlowPerShare,1.7175,1.481,1.159,0.25,0.016,1.344,85
ratio.freeCashFlowPerShare,1.7175,1.481,1.159,0.25,0.016,1.344,85
income_statement.operatingIncomeRatio,-0.0619,0.051,-1.203,0.232,0.015,1.448,94
enterprise_value.enterpriseValue,17260000000,14900000000,1.157,0.25,0.015,1.339,89
balance_sheet.otherLiabilities,-691500000,609000000,-1.135,0.259,0.014,1.288,91
cash_flow.cashAtBeginningOfPeriod,-308200000,287000000,-1.072,0.286,0.013,1.15,91
financial_growth.threeYOperatingCFGrowthPerShare,0.203,0.186,1.09,0.279,0.013,1.188,91
financial_growth.threeYShareholdersEquityGrowthPerShare,0.0994,0.099,1.003,0.319,0.013,1.006,76
key_metrics.debtToEquity,-0.7184,0.692,-1.038,0.302,0.013,1.077,87
ratio.debtEquityRatio,-0.7184,0.692,-1.038,0.302,0.013,1.077,87
ratio.companyEquityMultiplier,-0.737,0.692,-1.065,0.29,0.013,1.135,87
balance_sheet.goodwillAndIntangibleAssets,-2051000000,2130000000,-0.963,0.339,0.012,0.9274,77
income_statement_growht.growthIncomeBeforeTax,-0.2805,0.284,-0.988,0.326,0.012,0.9768,83
balance_sheet.propertyPlantEquipmentNet,13020000000,13100000000,0.993,0.323,0.011,0.9858,91
balance_sheet.accountPayables,373300000,390000000,0.958,0.341,0.011,0.9182,87
cash_flow.investmentsInPropertyPlantAndEquipment,1553000000,1590000000,0.977,0.331,0.011,0.9543,91
cash_flow.cashAtEndOfPeriod,-268500000,269000000,-0.997,0.321,0.011,0.9943,90
cash_flow.capitalExpenditure,1553000000,1590000000,0.977,0.331,0.011,0.9543,91
financial_growth.epsgrowth,0.3187,0.333,0.957,0.341,0.011,0.916,81
financial_growth.epsdilutedGrowth,0.3077,0.332,0.926,0.357,0.011,0.8581,81
income_statement_growht.growthOtherExpenses,0.0555,0.064,0.863,0.391,0.011,0.7442,68
income_statement_growht.growthOperatingIncomeRatio,-0.1904,0.194,-0.982,0.329,0.011,0.9638,86
key_metrics.netDebtToEBITDA,0.9387,0.983,0.955,0.343,0.011,0.9114,85
balance_sheet.shortTermDebt,774600000,826000000,0.937,0.351,0.01,0.8785,87
cash_flow.purchasesOfInvestments,1053000000,1300000000,0.813,0.419,0.01,0.6608,68
cash_flow.dividendsPaid,-306500000,334000000,-0.918,0.361,0.01,0.8423,89
financial_growth.operatingCashFlowGrowth,0.1306,0.14,0.931,0.355,0.01,0.8664,85
income_statement_growht.growthRevenue,-0.0356,0.038,-0.924,0.358,0.01,0.8536,87
income_statement_growht.growthEBITDARatio,0.1397,0.15,0.932,0.354,0.01,0.8686,87
income_statement_growht.growthNetIncomeRatio,0.2873,0.329,0.873,0.386,0.01,0.7614,81
key_metrics.marketCap,9727000000,10800000000,0.9,0.371,0.01,0.8103,85
key_metrics.intangiblesToTotalAssets,-0.0342,0.039,-0.873,0.386,0.01,0.7614,79
balance_sheet.totalCurrentLiabilities,1905000000,2090000000,0.91,0.366,0.009,0.8273,91
cash_flow.otherWorkingCapital,-452600000,495000000,-0.914,0.363,0.009,0.8348,93
cash_flow.freeCashFlow,567700000,608000000,0.934,0.353,0.009,0.873,95
financial_growth.weightedAverageSharesDilutedGrowth,0.0112,0.013,0.831,0.409,0.009,0.6903,79
key_metrics.netIncomePerShare,1.2527,1.426,0.879,0.382,0.009,0.772,87
ratio.returnOnAssets,0.0071,0.008,0.868,0.388,0.009,0.7528,83
enterprise_value.stockPrice,19.4091,20.733,0.936,0.352,0.009,0.8763,98
balance_sheet.goodwill,-1553000000,2030000000,-0.766,0.446,0.008,0.5866,73
financial_growth.fiveYOperatingCFGrowthPerShare,0.1861,0.212,0.878,0.383,0.008,0.77,92
income_statement.grossProfit,-1862000000,2150000000,-0.867,0.388,0.008,0.7521,99
income_statement_growht.growthInterestExpense,0.0698,0.088,0.796,0.429,0.008,0.6332,80
key_metrics.cashPerShare,-0.2739,0.341,-0.804,0.424,0.008,0.6469,83
key_metrics.interestCoverage,-0.7666,0.975,-0.786,0.434,0.008,0.6186,79
key_metrics.roic,-0.0089,0.011,-0.817,0.416,0.008,0.6677,85
ratio.returnOnCapitalEmployed,-0.0089,0.011,-0.817,0.416,0.008,0.6677,85
ratio.interestCoverage,-0.7666,0.975,-0.786,0.434,0.008,0.6186,79
income_statement_growht.growthIncomeBeforeTaxRatio,-0.1855,0.249,-0.746,0.458,0.007,0.557,81
key_metrics.operatingCashFlowPerShare,-2.3686,3.037,-0.78,0.438,0.007,0.6082,90
ratio.cashConversionCycle,-34.9917,46.833,-0.747,0.457,0.007,0.5583,78
ratio.operatingCashFlowPerShare,-2.3686,3.037,-0.78,0.438,0.007,0.6082,90
balance_sheet.commonStock,1152000000,1600000000,0.722,0.472,0.006,0.5218,90
income_statement_growht.growthCostOfRevenue,-0.07,0.11,-0.638,0.526,0.006,0.4067,66
ratio.operatingCycle,-30.9535,47.552,-0.651,0.517,0.006,0.4237,78
cash_flow.otherInvestingActivites,65540000,114000000,0.573,0.569,0.005,0.3282,74
financial_growth.netIncomeGrowth,0.2152,0.357,0.602,0.549,0.005,0.3627,80
financial_growth.tenYDividendperShareGrowthPerShare,0.3055,0.476,0.642,0.523,0.005,0.4121,80
key_metrics.currentRatio,-0.1286,0.187,-0.688,0.493,0.005,0.4729,90
key_metrics.capexToOperatingCashFlow,-0.1242,0.185,-0.673,0.503,0.005,0.4524,87
ratio.currentRatio,-0.1286,0.187,-0.688,0.493,0.005,0.4729,90
ratio.operatingProfitMargin,0.0407,0.061,0.672,0.503,0.005,0.4522,89
ratio.capitalExpenditureCoverageRatio,-0.1242,0.185,-0.673,0.503,0.005,0.4524,87
balance_sheet.totalCurrentAssets,793100000,1290000000,0.613,0.541,0.004,0.3763,89
balance_sheet.deferredTaxLiabilitiesNonCurrent,-1305000000,2300000000,-0.568,0.571,0.004,0.3231,87
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,-3345000000,5400000000,-0.62,0.537,0.004,0.3842,95
balance_sheet.totalInvestments,671600000,2170000000,0.31,0.759,0.004,0.09614,25
financial_growth.tenYRevenueGrowthPerShare,0.1347,0.213,0.633,0.528,0.004,0.4008,93
income_statement.grossProfitRatio,0.0614,0.101,0.605,0.547,0.004,0.366,94
income_statement.operatingExpenses,-805300000,1330000000,-0.605,0.546,0.004,0.3663,97
income_statement.incomeBeforeTax,-371600000,616000000,-0.604,0.548,0.004,0.3643,89
key_metrics.tangibleAssetValue,-3846000000,6750000000,-0.57,0.571,0.004,0.3246,78
key_metrics.daysOfInventoryOnHand,-22.2185,43.833,-0.507,0.614,0.004,0.2569,75
ratio.daysOfInventoryOutstanding,-22.2185,43.833,-0.507,0.614,0.004,0.2569,75
S&P500_INFO.Column1,-75.9682,115.892,-0.656,0.514,0.004,0.4297,99
balance_sheet.netReceivables,264900000,544000000,0.487,0.627,0.003,0.2371,93
balance_sheet.otherCurrentLiabilities,-280300000,581000000,-0.483,0.63,0.003,0.233,93
cash_flow.netCashProvidedByOperatingActivities,-491600000,947000000,-0.519,0.605,0.003,0.2693,87
cash_flow.operatingCashFlow,-491600000,947000000,-0.519,0.605,0.003,0.2693,87
financial_growth.debtGrowth,0.029,0.062,0.47,0.639,0.003,0.2211,89
income_statement.incomeBeforeTaxRatio,-0.0256,0.049,-0.518,0.605,0.003,0.2687,93
income_statement.netIncomeRatio,-0.0208,0.041,-0.506,0.614,0.003,0.2559,91
income_statement.weightedAverageShsOut,-94560000,181000000,-0.522,0.603,0.003,0.2723,96
income_statement.weightedAverageShsOutDil,-92150000,181000000,-0.508,0.613,0.003,0.2581,96
income_statement_growht.growthEBITDA,0.0817,0.154,0.529,0.598,0.003,0.2803,83
key_metrics.revenuePerShare,-4.408,8.265,-0.533,0.595,0.003,0.2844,83
key_metrics.bookValuePerShare,7.2866,14.678,0.496,0.621,0.003,0.2464,91
key_metrics.shareholdersEquityPerShare,7.2866,14.678,0.496,0.621,0.003,0.2464,91
key_metrics.pfcfRatio,-20.7251,44.867,-0.462,0.645,0.003,0.2134,76
key_metrics.capexToRevenue,-0.3757,0.767,-0.49,0.625,0.003,0.2401,90
key_metrics.capexToDepreciation,0.0437,0.086,0.505,0.615,0.003,0.2554,87
key_metrics.averageReceivables,-315100000,625000000,-0.504,0.616,0.003,0.254,87
key_metrics.averageInventory,-174000000,361000000,-0.482,0.631,0.003,0.2321,86
ratio.priceToFreeCashFlowsRatio,-20.7251,44.867,-0.462,0.645,0.003,0.2134,76
enterprise_value.numberOfShares,-94560000,181000000,-0.522,0.603,0.003,0.2723,96
balance_sheet.longTermInvestments,205200000,821000000,0.25,0.804,0.002,0.06238,43
balance_sheet.totalLiabilities,5133000000,12200000000,0.422,0.674,0.002,0.1781,88
cash_flow.inventory,-14260000,36100000,-0.395,0.694,0.002,0.1563,77
cash_flow.commonStockIssued,155900000,500000000,0.312,0.756,0.002,0.09733,55
financial_growth.weightedAverageSharesGrowth,-0.006,0.015,-0.395,0.694,0.002,0.1556,76
financial_growth.fiveYNetIncomeGrowthPerShare,-0.1253,0.321,-0.391,0.697,0.002,0.1527,77
income_statement.eps,-0.4862,1.1,-0.442,0.659,0.002,0.1955,92
income_statement.epsdiluted,-0.5018,1.097,-0.457,0.649,0.002,0.2091,92
income_statement_growht.growthIncomeTaxExpense,-0.1716,0.446,-0.385,0.701,0.002,0.148,83
key_metrics.receivablesTurnover,0.8044,2.12,0.379,0.705,0.002,0.144,90
ratio.netProfitMargin,0.0183,0.046,0.397,0.693,0.002,0.1574,85
ratio.receivablesTurnover,0.8044,2.12,0.379,0.705,0.002,0.144,90
balance_sheet.cashAndCashEquivalents,-101200000,276000000,-0.367,0.714,0.001,0.1348,94
balance_sheet.totalNonCurrentAssets,4893000000,17000000000,0.287,0.775,0.001,0.08238,91
balance_sheet.otherAssets,-115900000,375000000,-0.309,0.758,0.001,0.09541,77
balance_sheet.retainedEarnings,-1324000000,3740000000,-0.354,0.724,0.001,0.1255,98
cash_flow.depreciationAndAmortization,-138600000,614000000,-0.226,0.822,0.001,0.05101,85
cash_flow.accountsReceivables,-26300000,97800000,-0.269,0.789,0.001,0.07227,63
cash_flow.commonStockRepurchased,-21280000,189000000,-0.113,0.911,0.001,0.01273,23
cash_flow.netChangeInCash,22570000,80500000,0.28,0.78,0.001,0.07859,81
financial_growth.ebitgrowth,-0.0291,0.095,-0.306,0.76,0.001,0.09363,83
financial_growth.operatingIncomeGrowth,-0.0291,0.095,-0.306,0.76,0.001,0.09363,83
financial_growth.dividendsperShareGrowth,0.0074,0.032,0.231,0.818,0.001,0.05356,85
financial_growth.threeYRevenueGrowthPerShare,0.0161,0.078,0.206,0.837,0.001,0.0425,86
financial_growth.fiveYShareholdersEquityGrowthPerShare,-0.0734,0.251,-0.293,0.771,0.001,0.08558,92
financial_growth.assetGrowth,0.0094,0.034,0.275,0.784,0.001,0.07545,87
income_statement.revenue,953800000,3220000000,0.296,0.768,0.001,0.08764,90
income_statement.otherExpenses,17540000,75700000,0.232,0.817,0.001,0.05375,86
income_statement.costAndExpenses,-1210000000,3250000000,-0.373,0.71,0.001,0.1389,95
income_statement.interestExpense,92850000,376000000,0.247,0.806,0.001,0.06096,92
income_statement.depreciationAndAmortization,111300000,506000000,0.22,0.826,0.001,0.04843,84
income_statement.ebitdaratio,-0.0149,0.057,-0.261,0.794,0.001,0.06826,90
income_statement_growht.growthWeightedAverageShsOutDil,-0.0055,0.018,-0.307,0.76,0.001,0.09436,78
key_metrics.enterpriseValue,-5773000000,18200000000,-0.317,0.752,0.001,0.1006,86
key_metrics.incomeQuality,0.2259,0.714,0.316,0.753,0.001,0.1,77
key_metrics.daysSalesOutstanding,-4.2735,11.756,-0.364,0.717,0.001,0.1322,93
key_metrics.daysPayablesOutstanding,17.2963,56.753,0.305,0.761,0.001,0.09288,74
key_metrics.payablesTurnover,0.4497,1.911,0.235,0.815,0.001,0.05539,81
key_metrics.inventoryTurnover,1.305,5.158,0.253,0.801,0.001,0.06401,78
ratio.quickRatio,0.0426,0.152,0.281,0.78,0.001,0.07883,85
ratio.daysOfSalesOutstanding,-4.2735,11.756,-0.364,0.717,0.001,0.1322,93
ratio.daysOfPayablesOutstanding,17.2963,56.753,0.305,0.761,0.001,0.09288,74
ratio.payablesTurnover,0.4497,1.911,0.235,0.815,0.001,0.05539,81
ratio.inventoryTurnover,1.305,5.158,0.253,0.801,0.001,0.06401,78
ratio.operatingCashFlowSalesRatio,0.0162,0.064,0.254,0.8,0.001,0.06468,92
ratio.dividendPaidAndCapexCoverageRatio,-0.0986,0.283,-0.348,0.728,0.001,0.1213,85
enterprise_value.minusCashAndCashEquivalents,-101200000,276000000,-0.367,0.714,0.001,0.1348,94
balance_sheet.cashAndShortTermInvestments,53430000,352000000,0.152,0.88,0,0.02307,94
balance_sheet.inventory,27380000,328000000,0.083,0.934,0,0.006968,91
balance_sheet.otherCurrentAssets,-32260000,347000000,-0.093,0.926,0,0.008643,79
balance_sheet.otherNonCurrentAssets,140200000,845000000,0.166,0.869,0,0.02756,72
balance_sheet.totalAssets,2817000000,18300000000,0.154,0.878,0,0.02379,91
balance_sheet.otherNonCurrentLiabilities,85600000,839000000,0.102,0.919,0,0.0104,76
balance_sheet.totalStockholdersEquity,-675500000,5800000000,-0.117,0.908,0,0.01358,92
balance_sheet.totalLiabilitiesAndStockholdersEquity,2664000000,17900000000,0.149,0.882,0,0.02214,91
cash_flow.netIncome,-100500000,628000000,-0.16,0.873,0,0.02565,93
cash_flow.accountsPayables,-11510000,89100000,-0.129,0.898,0,0.0167,71
cash_flow.debtRepayment,124900000,1260000000,0.099,0.921,0,0.009793,90
cash_flow.otherFinancingActivites,543800,37200000,0.015,0.988,0,0.0002135,73
financial_growth.grossProfitGrowth,-0.0099,0.056,-0.177,0.86,0,0.03121,84
financial_growth.tenYOperatingCFGrowthPerShare,0.0734,0.419,0.175,0.861,0,0.03074,86
financial_growth.threeYNetIncomeGrowthPerShare,0.0679,0.365,0.186,0.853,0,0.03456,81
financial_growth.tenYShareholdersEquityGrowthPerShare,-0.0811,0.396,-0.205,0.838,0,0.04195,93
financial_growth.inventoryGrowth,-0.0058,0.071,-0.082,0.935,0,0.006683,86
income_statement.costOfRevenue,-415900000,2560000000,-0.162,0.871,0,0.02637,96
income_statement.ebitda,-66750000,1100000000,-0.061,0.952,0,0.003666,86
income_statement.operatingIncome,163800000,879000000,0.186,0.853,0,0.03476,95
income_statement.totalOtherIncomeExpensesNet,-16200000,115000000,-0.141,0.888,0,0.01999,80
income_statement.netIncome,-35650000,585000000,-0.061,0.952,0,0.003709,91
income_statement_growht.growthGrossProfit,0.0018,0.041,0.043,0.966,0,0.001879,69
income_statement_growht.growthDepreciationAndAmortization,0.0098,0.053,0.186,0.853,0,0.0346,83
income_statement_growht.growthOperatingIncome,-0.0192,0.153,-0.126,0.9,0,0.01583,83
income_statement_growht.growthWeightedAverageShsOut,0.0013,0.019,0.069,0.945,0,0.004718,76
key_metrics.tangibleBookValuePerShare,-1.3155,49.033,-0.027,0.979,0,0.0007198,91
key_metrics.interestDebtPerShare,2.7317,14.584,0.187,0.852,0,0.03509,85
key_metrics.evToFreeCashFlow,4.7859,72.237,0.066,0.947,0,0.00439,78
key_metrics.grahamNumber,3.4077,19.215,0.177,0.86,0,0.03145,90
key_metrics.grahamNetNet,0.3806,32.915,0.012,0.991,0,0.0001337,85
key_metrics.netCurrentAssetValue,1301000000,13200000000,0.099,0.922,0,0.009746,84
key_metrics.averagePayables,-80740000,420000000,-0.192,0.848,0,0.03704,81
key_metrics.capexPerShare,-0.2711,3.484,-0.078,0.938,0,0.006055,88
ratio.grossProfitMargin,-0.0168,0.185,-0.091,0.928,0,0.008259,82
ratio.pretaxProfitMargin,-0.0051,0.055,-0.092,0.927,0,0.008405,88
ratio.ebitPerRevenue,-0.0051,0.055,-0.092,0.927,0,0.008405,88
ratio.totalDebtToCapitalization,0.0098,0.082,0.12,0.905,0,0.0144,51
ratio.assetTurnover,0.0067,0.039,0.172,0.864,0,0.02942,88
enterprise_value.marketCapitalization,1709000000,10100000000,0.17,0.865,0,0.0289,94
S&P500_INFO.CIK,19890,193000,0.103,0.918,0,0.01064,79
