dependent_variable,coef,std err,t,P>|t|,[0.025,0.975],R_SQ,F_STAT,N
balance_sheet.otherNonCurrentLiabilities,-305200000,77300000,-3.947,0,-457000000,-153000000,0.012,15.58,1335
balance_sheet.shortTermDebt,-335200000,87500000,-3.833,0,-507000000,-164000000,0.012,14.69,1213
financial_growth.tenYDividendperShareGrowthPerShare,0.801,0.212,3.781,0,0.385,1.217,0.012,14.3,1176
income_statement.weightedAverageShsOut,-109800000,25200000,-4.35,0,-159000000,-60300000,0.011,18.92,1690
balance_sheet.netDebt,-2520000000,583000000,-4.321,0,-3660000000,-1380000000,0.011,18.67,1679
financial_growth.threeYNetIncomeGrowthPerShare,0.3088,0.072,4.288,0,0.168,0.45,0.011,18.39,1635
ratio.returnOnCapitalEmployed,0.0354,0.008,4.256,0,0.019,0.052,0.011,18.11,1609
key_metrics.roic,0.0355,0.008,4.261,0,0.019,0.052,0.011,18.16,1608
income_statement_growht.growthNetIncome,0.1935,0.047,4.149,0,0.102,0.285,0.011,17.22,1596
ratio.quickRatio,0.2591,0.061,4.253,0,0.14,0.379,0.011,18.09,1594
ratio.cashRatio,0.135,0.031,4.288,0,0.073,0.197,0.011,18.39,1588
cash_flow.capitalExpenditure,279500000,65900000,4.238,0,150000000,409000000,0.011,17.96,1556
key_metrics.freeCashFlowPerShare,1.434,0.341,4.208,0,0.766,2.102,0.011,17.71,1548
cash_flow.changeInWorkingCapital,220500000,53300000,4.136,0,116000000,325000000,0.011,17.11,1513
ratio.priceEarningsToGrowthRatio,2.1815,0.551,3.958,0,1.1,3.263,0.011,15.67,1410
balance_sheet.totalInvestments,354600000,181000000,1.959,0.051,-1430000,711000000,0.011,3.836,362
key_metrics.salesGeneralAndAdministrativeToRevenue,0.0494,0.025,1.957,0.051,0,0.099,0.011,3.832,362
cash_flow.netCashUsedForInvestingActivites,-266300000,137000000,-1.944,0.053,-536000000,3180000,0.011,3.778,347
income_statement.weightedAverageShsOutDil,-106800000,25600000,-4.166,0,-157000000,-56500000,0.01,17.35,1692
financial_growth.tenYShareholdersEquityGrowthPerShare,0.4595,0.11,4.16,0,0.243,0.676,0.01,17.31,1668
key_metrics.returnOnTangibleAssets,0.0357,0.009,4.092,0,0.019,0.053,0.01,16.74,1649
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.217,0.053,4.086,0,0.113,0.321,0.01,16.7,1641
income_statement.interestExpense,-111400000,28200000,-3.944,0,-167000000,-56000000,0.01,15.55,1595
income_statement.costAndExpenses,-2844000000,733000000,-3.881,0,-4280000000,-1410000000,0.01,15.06,1556
ratio.freeCashFlowPerShare,1.3805,0.341,4.046,0,0.711,2.05,0.01,16.37,1548
financial_growth.sgaexpensesGrowth,0.0355,0.009,3.883,0,0.018,0.053,0.01,15.08,1514
balance_sheet.deferredTaxLiabilitiesNonCurrent,-404800000,121000000,-3.343,0.001,-642000000,-167000000,0.01,11.17,1058
balance_sheet.totalDebt,-2636000000,676000000,-3.902,0,-3960000000,-1310000000,0.009,15.22,1643
balance_sheet.totalLiabilities,-6272000000,1590000000,-3.935,0,-9400000000,-3150000000,0.009,15.48,1635
ratio.returnOnAssets,0.0195,0.005,3.803,0,0.009,0.03,0.009,14.46,1618
income_statement_growht.growthEPS,0.153,0.042,3.68,0,0.071,0.235,0.009,13.54,1577
ratio.operatingProfitMargin,0.0389,0.011,3.666,0,0.018,0.06,0.009,13.44,1563
cash_flow.netChangeInCash,136400000,37900000,3.602,0,62100000,211000000,0.009,12.97,1475
key_metrics.stockBasedCompensationToRevenue,0.0027,0.001,3.599,0,0.001,0.004,0.009,12.95,1396
key_metrics.netCurrentAssetValue,3511000000,1020000000,3.443,0.001,1510000000,5510000000,0.009,11.85,1342
balance_sheet.inventory,-464200000,144000000,-3.213,0.001,-748000000,-181000000,0.009,10.32,1148
cash_flow.accountsPayables,40830000,12700000,3.209,0.001,15900000,65800000,0.009,10.3,1101
income_statement.operatingIncomeRatio,0.0407,0.011,3.836,0,0.02,0.062,0.008,14.72,1798
income_statement.incomeBeforeTaxRatio,0.0415,0.011,3.86,0,0.02,0.063,0.008,14.9,1797
balance_sheet.totalStockholdersEquity,-2353000000,644000000,-3.651,0,-3620000000,-1090000000,0.008,13.33,1659
income_statement.depreciationAndAmortization,-189800000,53700000,-3.535,0,-295000000,-84500000,0.008,12.49,1642
financial_growth.threeYShareholdersEquityGrowthPerShare,0.1241,0.034,3.636,0,0.057,0.191,0.008,13.22,1616
cash_flow.depreciationAndAmortization,-210500000,58500000,-3.599,0,-325000000,-95800000,0.008,12.96,1613
income_statement_growht.growthEPSDiluted,0.1504,0.042,3.609,0,0.069,0.232,0.008,13.03,1576
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.0327,0.009,3.56,0,0.015,0.051,0.008,12.67,1488
key_metrics.capexToDepreciation,-0.2129,0.062,-3.419,0.001,-0.335,-0.091,0.008,11.69,1461
key_metrics.interestCoverage,2.7307,0.819,3.334,0.001,1.124,4.337,0.008,11.12,1412
ratio.fixedAssetTurnover,1.4772,0.46,3.208,0.001,0.574,2.381,0.008,10.29,1266
enterprise_value.addTotalDebt,-2280000000,662000000,-3.443,0.001,-3580000000,-981000000,0.007,11.85,1677
income_statement.revenue,-3187000000,901000000,-3.536,0,-4960000000,-1420000000,0.007,12.5,1671
financial_growth.netIncomeGrowth,0.1626,0.047,3.485,0.001,0.071,0.254,0.007,12.14,1618
balance_sheet.totalCurrentLiabilities,-1755000000,540000000,-3.25,0.001,-2810000000,-696000000,0.007,10.56,1611
balance_sheet.netReceivables,-538800000,168000000,-3.212,0.001,-868000000,-210000000,0.007,10.32,1560
key_metrics.marketCap,6387000000,2040000000,3.137,0.002,2390000000,10400000000,0.007,9.841,1497
ratio.effectiveTaxRate,0.0422,0.013,3.169,0.002,0.016,0.068,0.007,10.04,1450
ratio.interestCoverage,2.6422,0.826,3.198,0.001,1.022,4.263,0.007,10.23,1416
balance_sheet.intangibleAssets,-546600000,174000000,-3.139,0.002,-888000000,-205000000,0.007,9.852,1341
balance_sheet.taxAssets,-111500000,50600000,-2.205,0.028,-211000000,-12200000,0.007,4.861,650
cash_flow.effectOfForexChangesOnCash,5589000,4210000,1.328,0.185,-2700000,13900000,0.007,1.764,270
cash_flow.acquisitionsNet,113400000,95400000,1.189,0.236,-74700000,302000000,0.007,1.415,198
income_statement.epsdiluted,0.8625,0.272,3.168,0.002,0.329,1.396,0.006,10.04,1722
income_statement.eps,0.9159,0.274,3.337,0.001,0.378,1.454,0.006,11.14,1719
enterprise_value.marketCapitalization,6328000000,1960000000,3.234,0.001,2490000000,10200000000,0.006,10.46,1697
balance_sheet.totalNonCurrentLiabilities,-2792000000,872000000,-3.202,0.001,-4500000000,-1080000000,0.006,10.26,1693
financial_growth.epsdilutedGrowth,0.1538,0.048,3.182,0.001,0.059,0.249,0.006,10.13,1633
financial_growth.epsgrowth,0.1512,0.048,3.136,0.002,0.057,0.246,0.006,9.837,1632
ratio.pretaxProfitMargin,0.0363,0.011,3.213,0.001,0.014,0.058,0.006,10.32,1621
ratio.ebitPerRevenue,0.0359,0.011,3.178,0.002,0.014,0.058,0.006,10.1,1619
balance_sheet.goodwillAndIntangibleAssets,-1569000000,530000000,-2.957,0.003,-2610000000,-528000000,0.006,8.743,1527
income_statement_growht.growthCostOfRevenue,0.0317,0.011,3.009,0.003,0.011,0.052,0.006,9.054,1471
ratio.netIncomePerEBT,-0.0451,0.015,-3.002,0.003,-0.075,-0.016,0.006,9.013,1459
ratio.currentRatio,0.2348,0.081,2.884,0.004,0.075,0.394,0.006,8.317,1403
key_metrics.currentRatio,0.2349,0.081,2.884,0.004,0.075,0.395,0.006,8.319,1402
financial_growth.dividendsperShareGrowth,0.0274,0.01,2.864,0.004,0.009,0.046,0.006,8.203,1296
ratio.dividendPayoutRatio,-0.0875,0.033,-2.674,0.008,-0.152,-0.023,0.006,7.148,1218
cash_flow.accountsReceivables,-39040000,14900000,-2.623,0.009,-68200000,-9840000,0.006,6.88,1143
balance_sheet.otherCurrentAssets,-130500000,54200000,-2.407,0.016,-237000000,-24100000,0.006,5.796,985
balance_sheet.otherLiabilities,-283200000,126000000,-2.239,0.025,-531000000,-34900000,0.006,5.013,894
cash_flow.cashAtBeginningOfPeriod,-349700000,125000000,-2.787,0.005,-596000000,-104000000,0.005,7.768,1640
balance_sheet.longTermDebt,-1801000000,607000000,-2.965,0.003,-2990000000,-610000000,0.005,8.794,1616
key_metrics.netIncomePerShare,0.7865,0.285,2.757,0.006,0.227,1.346,0.005,7.601,1550
key_metrics.netDebtToEBITDA,-0.5505,0.201,-2.744,0.006,-0.944,-0.157,0.005,7.528,1549
ratio.grossProfitMargin,0.0702,0.024,2.885,0.004,0.022,0.118,0.005,8.324,1549
balance_sheet.totalCurrentAssets,-1167000000,437000000,-2.667,0.008,-2020000000,-309000000,0.005,7.115,1536
income_statement.operatingExpenses,-600700000,224000000,-2.682,0.007,-1040000000,-161000000,0.005,7.196,1526
income_statement.ebitda,-537800000,196000000,-2.746,0.006,-922000000,-154000000,0.005,7.54,1526
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,896100000,319000000,2.807,0.005,270000000,1520000000,0.005,7.879,1471
key_metrics.capexPerShare,0.5246,0.194,2.7,0.007,0.144,0.906,0.005,7.293,1457
ratio.payoutRatio,-0.0839,0.033,-2.574,0.01,-0.148,-0.02,0.005,6.624,1225
key_metrics.payoutRatio,-0.0836,0.033,-2.563,0.01,-0.148,-0.02,0.005,6.569,1224
income_statement_growht.growthSellingAndMarketingExpenses,0.031,0.024,1.297,0.195,-0.016,0.078,0.005,1.683,319
income_statement.netIncomeRatio,0.0247,0.009,2.642,0.008,0.006,0.043,0.004,6.978,1787
income_statement.grossProfitRatio,0.0573,0.022,2.589,0.01,0.014,0.101,0.004,6.701,1691
ratio.cashPerShare,1.1219,0.48,2.338,0.02,0.181,2.063,0.004,5.465,1528
ratio.returnOnEquity,0.03,0.013,2.299,0.022,0.004,0.056,0.004,5.286,1498
key_metrics.roe,0.0301,0.013,2.309,0.021,0.005,0.056,0.004,5.33,1497
income_statement.grossProfit,-766600000,316000000,-2.426,0.015,-1390000000,-147000000,0.004,5.886,1492
balance_sheet.goodwill,-933800000,369000000,-2.531,0.011,-1660000000,-210000000,0.004,6.403,1456
key_metrics.averageReceivables,-381000000,154000000,-2.475,0.013,-683000000,-79100000,0.004,6.128,1361
financial_growth.inventoryGrowth,0.03,0.014,2.168,0.03,0.003,0.057,0.004,4.701,1154
cash_flow.netCashProvidedByOperatingActivities,-383000000,170000000,-2.252,0.024,-717000000,-49500000,0.003,5.073,1659
cash_flow.operatingCashFlow,-383000000,170000000,-2.252,0.024,-717000000,-49500000,0.003,5.073,1659
income_statement.ebitdaratio,0.0336,0.015,2.282,0.023,0.005,0.062,0.003,5.206,1645
ratio.netProfitMargin,0.0206,0.01,2.128,0.033,0.002,0.04,0.003,4.53,1606
income_statement_growht.growthCostAndExpenses,0.0198,0.009,2.19,0.029,0.002,0.038,0.003,4.795,1605
income_statement_growht.growthWeightedAverageShsOutDil,0.0061,0.003,2.279,0.023,0.001,0.011,0.003,5.193,1596
income_statement_growht.growthNetIncomeRatio,0.0954,0.042,2.289,0.022,0.014,0.177,0.003,5.242,1569
income_statement.generalAndAdministrativeExpenses,-349600000,172000000,-2.03,0.043,-687000000,-11700000,0.003,4.12,1510
cash_flow.debtRepayment,370300000,171000000,2.169,0.03,35300000,705000000,0.003,4.703,1480
balance_sheet.otherNonCurrentAssets,-102900000,56400000,-1.824,0.068,-214000000,7770000,0.003,3.327,1282
ratio.daysOfPayablesOutstanding,-5.9508,3.308,-1.799,0.072,-12.441,0.539,0.003,3.236,1272
income_statement.otherExpenses,-11320000,6280000,-1.802,0.072,-23700000,1010000,0.003,3.246,1058
cash_flow.inventory,22000000,13500000,1.63,0.103,-4490000,48500000,0.003,2.656,1007
balance_sheet.otherAssets,-144000000,79800000,-1.804,0.071,-301000000,12600000,0.003,3.256,998
cash_flow.netCashUsedProvidedByFinancingActivities,225200000,212000000,1.062,0.289,-192000000,642000000,0.003,1.128,357
S&P500_INFO.CIK,96890,49500,1.958,0.05,-166.591,194000,0.002,3.833,1889
enterprise_value.enterpriseValue,4386000000,2360000000,1.86,0.063,-240000000,9010000000,0.002,3.459,1716
ratio.operatingCashFlowSalesRatio,0.0247,0.013,1.833,0.067,-0.002,0.051,0.002,3.361,1665
financial_growth.weightedAverageSharesDilutedGrowth,0.0048,0.003,1.848,0.065,0,0.01,0.002,3.416,1626
financial_growth.weightedAverageSharesGrowth,0.0045,0.003,1.744,0.081,-0.001,0.01,0.002,3.042,1602
key_metrics.bookValuePerShare,-3.3847,1.954,-1.732,0.083,-7.218,0.448,0.002,3,1587
key_metrics.shareholdersEquityPerShare,-3.3847,1.954,-1.732,0.083,-7.218,0.448,0.002,3,1587
income_statement_growht.growthWeightedAverageShsOut,0.005,0.003,1.885,0.06,0,0.01,0.002,3.555,1584
key_metrics.interestDebtPerShare,-2.5921,1.628,-1.592,0.112,-5.786,0.602,0.002,2.534,1542
key_metrics.cashPerShare,0.6751,0.351,1.923,0.055,-0.014,1.364,0.002,3.697,1527
income_statement_growht.growthOperatingExpenses,0.0184,0.011,1.736,0.083,-0.002,0.039,0.002,3.014,1525
key_metrics.enterpriseValue,4571000000,2590000000,1.767,0.077,-504000000,9640000000,0.002,3.122,1504
key_metrics.capexToRevenue,-3.5565,2.015,-1.765,0.078,-7.508,0.395,0.002,3.117,1499
key_metrics.grahamNetNet,6.3679,3.408,1.869,0.062,-0.317,13.052,0.002,3.492,1498
balance_sheet.commonStock,-25680000,13900000,-1.848,0.065,-52900000,1580000,0.002,3.415,1455
ratio.receivablesTurnover,-0.5403,0.372,-1.451,0.147,-1.271,0.19,0.002,2.106,1355
key_metrics.receivablesTurnover,-0.542,0.372,-1.455,0.146,-1.273,0.189,0.002,2.117,1354
key_metrics.tangibleAssetValue,-934600000,634000000,-1.475,0.14,-2180000000,308000000,0.002,2.176,1337
cash_flow.commonStockRepurchased,122800000,77600000,1.583,0.114,-29400000,275000000,0.002,2.505,1329
key_metrics.daysPayablesOutstanding,-5.8843,3.307,-1.78,0.075,-12.371,0.603,0.002,3.167,1271
cash_flow.otherNonCashItems,-20210000,12300000,-1.64,0.101,-44400000,3970000,0.002,2.688,1207
ratio.dividendPaidAndCapexCoverageRatio,1.216,0.92,1.322,0.187,-0.589,3.022,0.002,1.746,1116
ratio.inventoryTurnover,-0.7075,0.54,-1.309,0.191,-1.768,0.353,0.002,1.714,999
key_metrics.inventoryTurnover,-0.7124,0.541,-1.318,0.188,-1.773,0.349,0.002,1.736,998
balance_sheet.otherCurrentLiabilities,-132800000,107000000,-1.243,0.214,-342000000,76800000,0.002,1.546,961
ratio.totalDebtToCapitalization,-0.038,0.036,-1.065,0.287,-0.108,0.032,0.002,1.135,653
balance_sheet.longTermInvestments,-142300000,159000000,-0.896,0.371,-454000000,170000000,0.002,0.8022,515
income_statement.researchAndDevelopmentExpenses,-113000000,108000000,-1.05,0.294,-324000000,98400000,0.002,1.102,515
balance_sheet.taxPayables,-15130000,24300000,-0.623,0.534,-63100000,32800000,0.002,0.3883,176
balance_sheet.retainedEarnings,-607900000,671000000,-0.906,0.365,-1920000000,708000000,0.001,0.8206,1621
key_metrics.grahamNumber,3.3475,3.012,1.111,0.267,-2.561,9.256,0.001,1.235,1589
ratio.longTermDebtToCapitalization,-0.0193,0.022,-0.896,0.37,-0.062,0.023,0.001,0.8028,1573
income_statement.operatingIncome,-165500000,131000000,-1.26,0.208,-423000000,92200000,0.001,1.587,1519
key_metrics.tangibleBookValuePerShare,-5.236,4.558,-1.149,0.251,-14.176,3.704,0.001,1.32,1509
ratio.companyEquityMultiplier,-0.216,0.169,-1.281,0.2,-0.547,0.115,0.001,1.642,1467
ratio.debtEquityRatio,-0.2036,0.168,-1.212,0.226,-0.533,0.126,0.001,1.469,1464
key_metrics.debtToEquity,-0.2043,0.168,-1.216,0.224,-0.534,0.125,0.001,1.478,1463
ratio.operatingCycle,-5.5336,6.601,-0.838,0.402,-18.483,7.416,0.001,0.7027,1363
ratio.payablesTurnover,0.4699,0.486,0.967,0.334,-0.483,1.423,0.001,0.9355,1267
key_metrics.payablesTurnover,0.4648,0.486,0.956,0.339,-0.489,1.418,0.001,0.9147,1266
cash_flow.deferredIncomeTax,11390000,14200000,0.802,0.423,-16500000,39300000,0.001,0.6435,1255
income_statement.totalOtherIncomeExpensesNet,-10020000,12800000,-0.782,0.434,-35200000,15100000,0.001,0.6115,1215
cash_flow.salesMaturitiesOfInvestments,-277300000,310000000,-0.893,0.372,-886000000,332000000,0.001,0.7979,855
balance_sheet.deferredRevenue,80010000,83100000,0.963,0.336,-83000000,243000000,0.001,0.9277,854
ratio.cashFlowToDebtRatio,0.0261,0.033,0.784,0.433,-0.039,0.091,0.001,0.6143,613
ratio.cashFlowCoverageRatios,0.0261,0.033,0.784,0.433,-0.039,0.091,0.001,0.6143,613
ratio.shortTermCoverageRatios,0.6732,1.255,0.536,0.592,-1.792,3.139,0.001,0.2877,570
S&P500_INFO.Column1,-10.7926,13.373,-0.807,0.42,-37.021,15.436,0,0.6513,1885
enterprise_value.minusCashAndCashEquivalents,-112500000,135000000,-0.832,0.405,-378000000,153000000,0,0.6929,1708
ratio.debtRatio,-0.013,0.02,-0.655,0.513,-0.052,0.026,0,0.4291,1691
key_metrics.debtToAssets,-0.0131,0.02,-0.657,0.511,-0.052,0.026,0,0.4322,1690
income_statement.incomeBeforeTax,66170000,138000000,0.481,0.631,-204000000,336000000,0,0.2314,1676
balance_sheet.cashAndCashEquivalents,-105600000,137000000,-0.768,0.442,-375000000,164000000,0,0.5904,1660
cash_flow.netIncome,-66350000,112000000,-0.594,0.552,-285000000,153000000,0,0.353,1653
cash_flow.cashAtEndOfPeriod,-122000000,143000000,-0.853,0.394,-403000000,159000000,0,0.7269,1650
income_statement.netIncome,4123000,108000000,0.038,0.97,-208000000,217000000,0,0.001449,1650
cash_flow.freeCashFlow,90720000,118000000,0.766,0.444,-142000000,323000000,0,0.5867,1616
income_statement.incomeTaxExpense,-31810000,36400000,-0.873,0.383,-103000000,39700000,0,0.7622,1591
ratio.assetTurnover,0.016,0.038,0.426,0.67,-0.058,0.09,0,0.1814,1589
ratio.operatingCashFlowPerShare,0.3213,0.409,0.786,0.432,-0.481,1.123,0,0.6174,1575
key_metrics.operatingCashFlowPerShare,0.3238,0.409,0.792,0.429,-0.478,1.126,0,0.6268,1574
key_metrics.intangiblesToTotalAssets,0.0062,0.024,0.258,0.797,-0.041,0.053,0,0.06642,1556
balance_sheet.cashAndShortTermInvestments,12530000,165000000,0.076,0.939,-311000000,336000000,0,0.005771,1553
financial_growth.debtGrowth,0.0056,0.015,0.368,0.713,-0.024,0.035,0,0.1354,1535
income_statement_growht.growthDepreciationAndAmortization,0.0104,0.012,0.864,0.388,-0.013,0.034,0,0.7468,1527
key_metrics.revenuePerShare,-1.874,2.654,-0.706,0.48,-7.08,3.332,0,0.4985,1526
ratio.daysOfSalesOutstanding,2.3158,2.827,0.819,0.413,-3.23,7.861,0,0.671,1441
key_metrics.daysSalesOutstanding,2.3305,2.828,0.824,0.41,-3.217,7.878,0,0.6791,1440
income_statement_growht.growthInterestExpense,0.0115,0.023,0.508,0.611,-0.033,0.056,0,0.2582,1435
key_metrics.incomeQuality,0.0427,0.073,0.588,0.556,-0.1,0.185,0,0.3463,1431
cash_flow.otherWorkingCapital,33870000,121000000,0.28,0.779,-203000000,271000000,0,0.07846,1404
cash_flow.stockBasedCompensation,1314000,8340000,0.158,0.875,-15100000,17700000,0,0.02482,1384
cash_flow.dividendsPaid,50600000,64300000,0.786,0.432,-75600000,177000000,0,0.6185,1348
ratio.cashConversionCycle,-0.9069,6.382,-0.142,0.887,-13.427,11.613,0,0.02019,1334
key_metrics.workingCapital,-113700000,204000000,-0.556,0.578,-515000000,287000000,0,0.3093,1241
income_statement_growht.growthTotalOtherIncomeExpensesNet,0.0034,0.133,0.026,0.979,-0.257,0.264,0,0.0006643,1166
cash_flow.otherFinancingActivites,3993000,7800000,0.512,0.609,-11300000,19300000,0,0.262,1163
income_statement_growht.growthOtherExpenses,-0.0482,0.099,-0.488,0.625,-0.242,0.146,0,0.2385,1159
